generation,rank_1,rank_2,swapAccepted
1000,1,4,1
2000,2,3,1
3000,1,2,1
4000,1,2,1
5000,3,4,1
6000,2,3,1
7000,1,4,1
8000,2,4,1
9000,1,3,0
10000,3,4,1
11000,1,4,1
12000,2,3,1
13000,2,4,1
14000,3,4,1
15000,1,2,1
16000,2,4,0
17000,1,4,0
18000,1,4,0
19000,3,4,1
20000,2,4,1
21000,1,2,1
22000,1,3,1
23000,1,3,1
24000,1,3,1
25000,2,3,1
26000,1,2,1
27000,1,2,1
28000,3,4,1
29000,1,4,0
30000,1,2,1
31000,3,4,1
32000,1,4,0
33000,1,3,0
34000,2,4,1
35000,2,4,1
36000,1,3,1
37000,2,4,1
38000,1,4,1
39000,3,4,0
40000,1,3,1
41000,2,3,1
42000,3,4,1
43000,1,3,0
44000,2,4,1
45000,1,4,1
46000,1,3,0
47000,2,4,1
48000,2,4,1
49000,2,3,1
50000,2,4,1
51000,1,4,0
52000,2,4,0
53000,1,3,0
54000,2,4,0
55000,1,4,0
56000,1,3,1
57000,3,4,0
58000,1,3,1
59000,3,4,0
60000,1,3,1
61000,1,2,1
62000,1,2,1
63000,1,2,1
64000,2,4,0
65000,2,3,1
66000,3,4,0
67000,2,4,1
68000,1,2,0
69000,2,3,1
70000,1,4,1
71000,3,4,1
72000,2,3,1
73000,1,2,1
74000,1,4,0
75000,2,3,1
76000,3,4,1
77000,1,2,1
78000,2,4,1
79000,1,2,1
80000,1,3,1
81000,1,3,1
82000,1,4,1
83000,1,3,1
84000,1,2,1
85000,2,4,1
86000,1,3,0
87000,1,4,0
88000,1,4,0
89000,1,2,0
90000,2,3,1
91000,3,4,1
92000,1,2,1
93000,2,3,0
94000,1,2,1
95000,1,4,0
96000,1,3,1
97000,3,4,1
98000,2,3,1
99000,1,3,1
100000,1,2,1
101000,1,3,1
102000,1,4,1
103000,1,4,1
104000,1,4,0
105000,2,3,1
106000,2,3,0
107000,3,4,1
108000,2,3,1
109000,1,4,1
110000,1,3,1
111000,2,4,1
112000,1,3,1
113000,1,3,1
114000,1,4,1
115000,1,2,1
116000,1,4,0
117000,1,2,1
118000,3,4,1
119000,2,3,1
120000,1,3,1
121000,2,3,1
122000,2,4,1
123000,2,4,1
124000,3,4,1
125000,2,3,1
126000,1,2,0
127000,1,4,0
128000,1,2,1
129000,1,3,1
130000,1,4,0
131000,1,2,1
132000,3,4,1
133000,1,2,1
134000,2,3,1
135000,1,4,0
136000,2,4,1
137000,2,3,1
138000,2,4,0
139000,2,4,1
140000,3,4,1
141000,2,3,1
142000,2,3,1
143000,3,4,1
144000,1,4,1
145000,1,2,1
146000,2,4,1
147000,3,4,1
148000,2,4,0
149000,3,4,1
150000,1,3,1
151000,2,4,1
152000,2,3,0
153000,2,4,1
154000,3,4,1
155000,2,3,0
156000,2,3,1
157000,1,2,1
158000,2,3,1
159000,1,4,0
160000,2,3,0
161000,3,4,1
162000,2,3,1
163000,1,4,0
164000,3,4,1
165000,2,4,1
166000,1,2,1
167000,3,4,1
168000,1,4,0
169000,1,3,1
170000,2,3,1
171000,1,3,1
172000,3,4,1
173000,2,4,1
174000,3,4,1
175000,2,3,1
176000,1,3,0
177000,1,4,0
178000,1,2,1
179000,3,4,1
180000,1,3,0
181000,1,4,1
182000,1,4,1
183000,1,2,0
184000,1,2,1
185000,3,4,1
186000,3,4,1
187000,2,3,1
188000,3,4,1
189000,1,2,1
190000,1,2,1
191000,1,3,0
192000,2,4,1
193000,1,2,1
194000,2,3,1
195000,1,4,1
196000,1,2,1
197000,2,3,1
198000,1,3,1
199000,1,2,1
200000,3,4,1
201000,1,4,0
202000,3,4,1
203000,1,3,0
204000,1,4,1
205000,1,3,1
206000,2,3,1
207000,3,4,1
208000,1,2,1
209000,1,2,0
210000,1,3,0
211000,2,3,1
212000,1,3,0
213000,2,3,1
214000,1,4,1
215000,2,3,1
216000,3,4,1
217000,1,3,1
218000,1,3,1
219000,2,3,1
220000,1,4,1
221000,1,3,1
222000,2,3,0
223000,3,4,1
224000,3,4,1
225000,1,4,0
226000,2,3,0
227000,2,4,0
228000,1,4,0
229000,2,4,0
230000,2,3,0
231000,1,3,0
232000,3,4,1
233000,2,4,0
234000,1,2,1
235000,1,3,0
236000,2,3,1
237000,3,4,1
238000,3,4,1
239000,1,4,0
240000,1,4,0
241000,2,3,1
242000,1,2,1
243000,1,3,1
244000,1,3,1
245000,1,4,1
246000,2,3,1
247000,1,2,1
248000,1,2,1
249000,1,2,1
250000,3,4,1
251000,2,3,1
252000,3,4,1
253000,2,4,1
254000,1,4,1
255000,2,4,1
256000,1,4,0
257000,2,3,1
258000,2,3,1
259000,1,4,0
260000,1,4,1
261000,1,4,1
262000,2,3,1
263000,1,4,0
264000,2,4,0
265000,1,4,1
266000,1,4,1
267000,1,4,0
268000,2,3,0
269000,2,3,0
270000,1,2,1
271000,3,4,1
272000,3,4,1
273000,2,4,1
274000,1,3,0
275000,3,4,1
276000,1,4,1
277000,2,3,1
278000,3,4,1
279000,1,3,1
280000,3,4,1
281000,2,4,1
282000,2,4,1
283000,3,4,1
284000,1,3,0
285000,2,4,0
286000,1,2,1
287000,3,4,1
288000,1,4,1
289000,1,2,1
290000,1,3,1
291000,2,4,1
292000,2,4,1
293000,1,2,1
294000,3,4,1
295000,1,2,1
296000,2,4,1
297000,1,3,1
298000,1,3,1
299000,2,4,0
300000,3,4,1
301000,1,4,0
302000,2,3,0
303000,1,4,1
304000,3,4,1
305000,2,3,1
306000,2,3,1
307000,2,4,0
308000,2,3,1
309000,1,3,1
310000,3,4,1
311000,3,4,1
312000,2,3,1
313000,2,4,1
314000,2,4,1
315000,1,2,1
316000,1,4,1
317000,1,4,1
318000,2,4,0
319000,2,4,0
320000,2,3,1
321000,1,2,1
322000,2,4,1
323000,2,3,1
324000,2,4,0
325000,1,2,1
326000,2,4,1
327000,1,4,1
328000,1,2,0
329000,1,4,0
330000,3,4,1
331000,1,2,0
332000,3,4,1
333000,2,4,1
334000,1,2,1
335000,1,3,0
336000,2,4,0
337000,3,4,1
338000,2,3,1
339000,2,3,1
340000,1,4,1
341000,2,4,1
342000,1,2,1
343000,2,4,1
344000,1,2,1
345000,1,3,0
346000,3,4,1
347000,2,4,0
348000,1,3,0
349000,3,4,1
350000,1,4,0
351000,1,2,1
352000,2,3,0
353000,1,3,1
354000,2,4,1
355000,2,4,1
356000,1,2,1
357000,2,3,1
358000,2,3,1
359000,1,4,0
360000,1,2,1
361000,1,2,1
362000,1,4,1
363000,1,3,1
364000,1,4,1
365000,3,4,1
366000,1,2,1
367000,1,2,1
368000,2,4,1
369000,1,3,0
370000,1,4,0
371000,1,3,1
372000,1,3,1
373000,1,4,1
374000,3,4,1
375000,2,3,1
376000,1,4,1
377000,1,3,1
378000,1,3,1
379000,2,3,0
380000,3,4,1
381000,1,3,0
382000,1,3,0
383000,2,3,1
384000,1,2,1
385000,1,3,1
386000,1,2,1
387000,1,2,1
388000,1,2,1
389000,3,4,1
390000,1,2,1
391000,2,4,1
392000,3,4,1
393000,1,3,1
394000,1,4,0
395000,1,2,0
396000,3,4,0
397000,1,2,0
398000,2,4,1
399000,3,4,0
400000,2,4,1
401000,3,4,1
402000,2,3,1
403000,1,2,1
404000,1,2,1
405000,2,4,1
406000,3,4,1
407000,1,2,1
408000,2,3,1
409000,3,4,1
410000,1,3,0
411000,2,4,1
412000,1,3,1
413000,2,3,1
414000,1,4,1
415000,2,3,1
416000,3,4,0
417000,2,4,1
418000,2,4,1
419000,1,3,1
420000,1,3,1
421000,1,4,1
422000,1,2,1
423000,2,4,1
424000,1,4,1
425000,3,4,1
426000,3,4,1
427000,1,4,1
428000,3,4,1
429000,1,3,1
430000,2,3,1
431000,1,2,1
432000,3,4,1
433000,2,3,1
434000,1,2,1
435000,2,4,1
436000,1,3,0
437000,1,3,0
438000,1,4,1
439000,1,4,1
440000,3,4,1
441000,1,3,1
442000,1,4,1
443000,2,3,1
444000,1,3,1
445000,3,4,1
446000,1,2,1
447000,1,4,0
448000,1,3,1
449000,2,3,1
450000,3,4,1
451000,1,4,0
452000,2,3,1
453000,1,2,1
454000,2,4,1
455000,2,4,1
456000,3,4,1
457000,2,4,1
458000,3,4,1
459000,2,4,1
460000,2,3,0
461000,1,3,1
462000,3,4,1
463000,2,4,1
464000,1,4,0
465000,1,2,1
466000,2,3,1
467000,1,4,1
468000,1,2,1
469000,3,4,0
470000,1,2,1
471000,1,4,0
472000,2,4,0
473000,2,3,1
474000,2,4,0
475000,2,3,1
476000,2,4,0
477000,1,4,1
478000,2,4,1
479000,1,4,1
480000,2,4,1
481000,1,4,1
482000,1,2,1
483000,2,3,1
484000,1,2,1
485000,2,3,1
486000,2,3,1
487000,2,3,1
488000,3,4,1
489000,2,3,1
490000,2,3,1
491000,1,2,1
492000,2,4,1
493000,1,2,0
494000,1,2,1
495000,1,2,1
496000,3,4,1
497000,2,3,1
498000,2,3,1
499000,1,3,1
500000,1,3,1
501000,1,4,1
502000,2,3,1
503000,2,4,0
504000,2,3,1
505000,1,2,1
506000,3,4,1
507000,3,4,1
508000,1,2,1
509000,2,3,1
510000,1,2,1
511000,3,4,1
512000,1,2,1
513000,2,4,1
514000,1,2,1
515000,1,3,1
516000,3,4,1
517000,3,4,1
518000,2,4,1
519000,1,2,1
520000,1,4,1
521000,2,3,1
522000,2,4,1
523000,2,3,1
524000,3,4,1
525000,1,4,1
526000,3,4,1
527000,2,3,1
528000,1,3,1
529000,2,3,1
530000,1,4,1
531000,2,3,1
532000,1,4,1
533000,2,3,1
534000,1,2,1
535000,3,4,0
536000,1,4,1
537000,1,3,1
538000,1,2,1
539000,1,2,1
540000,3,4,1
541000,1,4,1
542000,2,4,1
543000,1,4,1
544000,1,3,1
545000,2,3,1
546000,1,3,1
547000,2,3,1
548000,1,2,1
549000,1,3,1
550000,2,3,1
551000,2,4,0
552000,1,2,1
553000,1,3,1
554000,3,4,0
555000,1,4,1
556000,1,3,1
557000,1,2,1
558000,2,3,1
559000,2,4,1
560000,2,3,0
561000,1,4,1
562000,2,4,0
563000,3,4,1
564000,2,4,1
565000,1,4,1
566000,2,4,1
567000,1,2,1
568000,1,2,1
569000,3,4,1
570000,1,4,1
571000,1,3,1
572000,1,4,1
573000,3,4,1
574000,1,2,0
575000,3,4,1
576000,1,2,0
577000,1,4,1
578000,3,4,1
579000,1,2,1
580000,1,3,1
581000,2,3,1
582000,1,2,1
583000,1,4,1
584000,1,2,1
585000,1,3,1
586000,2,3,1
587000,1,4,1
588000,2,4,0
589000,1,2,1
590000,1,3,1
591000,3,4,1
592000,1,3,1
593000,1,3,1
594000,1,2,1
595000,2,3,1
596000,1,2,1
597000,2,4,1
598000,2,4,0
599000,1,4,1
600000,1,2,1
601000,2,3,1
602000,1,3,1
603000,2,3,1
604000,1,2,1
605000,1,2,0
606000,2,4,1
607000,2,3,1
608000,2,3,1
609000,1,2,0
610000,1,2,1
611000,1,2,1
612000,2,4,0
613000,1,4,1
614000,3,4,1
615000,2,4,1
616000,2,3,1
617000,1,3,1
618000,1,3,1
619000,2,4,1
620000,2,3,1
621000,2,3,1
622000,3,4,1
623000,2,3,0
624000,2,3,0
625000,1,2,1
626000,2,3,1
627000,1,3,0
628000,3,4,1
629000,1,3,1
630000,1,3,1
631000,3,4,1
632000,2,4,1
633000,1,2,1
634000,1,4,1
635000,2,4,1
636000,2,3,1
637000,1,4,1
638000,2,4,1
639000,1,4,1
640000,2,3,1
641000,3,4,1
642000,2,3,1
