generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,2.44566,-2663.2,1,0
100,0,1.67592,-1818.42,0.491656,0.33
200,0,1.68508,-1734.9,0.243313,0.285
300,0,-0.374343,-1613.07,1.69556,0.25
400,0,-2.17374,-1597.47,0.300114,0.2425
500,0,-2.74727,-1590.38,0.872928,0.23
600,0,-4.24281,-1587.94,0.00460054,0.231667
700,0,-0.256184,-1583.42,0.0878001,0.22
800,0,-3.14218,-1579.09,0.572681,0.20875
900,0,-0.644593,-1579.96,0.490705,0.205556
1000,0,-0.358725,-1573.67,0.145171,0.201798
1100,0,-0.206091,-1575.8,0.120984,0.09
1200,0,-3.14321,-1557.61,0.805396,0.155
1300,0,-6.70036,-1550.24,0.44336,0.17
1400,0,-7.15099,-1550.01,0.947592,0.1625
1500,0,-3.61175,-1552.41,0.17119,0.16
1600,0,-3.99499,-1552.57,0.839077,0.155
1700,0,-3.36052,-1552.57,0.204603,0.148571
1800,0,-2.92749,-1552.89,0.164268,0.1475
1900,0,-1.28541,-1555.96,0.109915,0.152222
2000,0,-3.07627,-1553.95,1.05585,0.156
2100,0,-2.85511,-1553.2,0.280553,0.14
2200,0,-3.16973,-1553.2,0.595176,0.135
2300,0,-3.04249,-1553.36,0.283511,0.146667
2400,0,-4.12753,-1548.77,0.152254,0.1625
2500,0,-4.69193,-1548.59,0.438983,0.164
2600,0,-4.48128,-1547.59,0.0528505,0.171667
2700,0,-5.26901,-1546.97,0.0340801,0.165714
2800,0,-5.6532,-1547.05,0.280352,0.16875
2900,0,-4.93009,-1550.06,1.04336,0.165556
3000,1,-5.77898,-1544.19,1.035,0.19027
3100,2,-5.21686,-1544.03,0.932178,0.33
3200,1,-4.73702,-1545.84,1.69397,0.335
3300,1,-2.1238,-1537.74,0.91627,0.343333
3400,1,-4.13552,-1531.98,0.239598,0.315
3500,1,-4.9309,-1533.41,1.49787,0.324
3600,1,-3.3168,-1534.03,0.762463,0.321667
3700,1,-3.0816,-1534.78,0.62857,0.315714
3800,1,-2.92196,-1534.63,0.156382,0.3225
3900,1,-2.87,-1533.3,0.411846,0.311111
4000,0,-4.83916,-1547.36,0.16539,0.1675
4100,1,-4.43896,-1547.17,0.581007,0.22
4200,0,-5.58337,-1546.66,0.418471,0.26
4300,0,-5.94347,-1547.19,1.54522,0.21
4400,0,-4.50962,-1547.19,0.111368,0.175
4500,0,-5.69554,-1546.4,0.0233269,0.17
4600,0,-6.87602,-1545.96,0.063594,0.176667
4700,0,-5.04047,-1548.54,0.919645,0.17
4800,1,-2.84935,-1542.55,1.51743,0.18875
4900,1,-1.7296,-1538.5,0.781529,0.202222
5000,1,-2.56515,-1539.3,2.37522,0.22
5100,1,-0.59655,-1539.19,0.264633,0.43
5200,1,-2.97288,-1537.41,0.76926,0.435
5300,1,-2.70264,-1537.02,0.421759,0.4
5400,1,-2.13353,-1540.36,0.239647,0.41
5500,1,-2.54873,-1538.44,1.11775,0.416
5600,1,-2.95852,-1538.93,0.529934,0.415
5700,1,-2.57578,-1541.25,1.28024,0.418571
5800,1,-1.98657,-1540.36,1.11158,0.405
5900,1,-6.17997,-1537.6,2.54844,0.398889
6000,1,-2.03663,-1536.41,0.557578,0.41
6100,1,-2.23208,-1537.14,0.354585,0.43
6200,1,-3.41603,-1536.15,1.36589,0.38
6300,2,-2.43191,-1523.71,1.09704,0.4
6400,2,-3.54781,-1512.08,0.549616,0.4175
6500,2,-6.67803,-1508.24,1.91967,0.42
6600,2,-0.629637,-1512.77,1.85432,0.431667
6700,2,-2.30505,-1510.83,1.39808,0.437143
6800,3,-3.14799,-1497.2,1.19878,0.4375
6900,3,2.55021,-1500.82,1.09335,0.437778
7000,3,3.32507,-1436.62,1.83035,0.274389
7100,3,3.7328,-1436.97,1.29066,0.33
7200,3,2.18517,-1435.33,2.11647,0.33
7300,3,-0.322346,-1434.57,3.56196,0.38
7400,3,-0.348084,-1434.2,2.49654,0.3675
7500,3,1.49447,-1431.69,2.04088,0.368
7600,3,3.10068,-1430.76,0.833303,0.355
7700,3,2.32946,-1431.13,1.19395,0.362857
7800,2,0.3509,-1432.77,1.28542,0.35625
7900,2,0.568554,-1410.24,1.22692,0.352222
8000,2,0.0900012,-1412.52,1.55369,0.335
8100,2,1.48822,-1415.05,1.73271,0.34
8200,2,1.80401,-1413.05,1.29451,0.265
8300,2,2.22225,-1393.23,0.539204,0.273333
8400,2,-1.58262,-1393.01,3.14719,0.285
8500,2,0.6948,-1382.56,0.731998,0.268
8600,2,1.05801,-1382.67,1.97175,0.263333
8700,2,1.66634,-1381.75,1.29362,0.262857
8800,2,1.9093,-1381.21,1.13169,0.25875
8900,2,2.69841,-1381.24,0.393029,0.252222
9000,2,-0.197676,-1382.3,3.217,0.26
9100,2,2.47424,-1379.03,1.00464,0.25
9200,2,2.67951,-1379.46,0.865719,0.265
9300,2,2.48005,-1379.63,1.06655,0.25
9400,2,2.32013,-1380.41,1.35608,0.2225
9500,2,1.53523,-1375.92,2.1073,0.222
9600,2,2.48003,-1374.3,1.13888,0.22
9700,2,2.92119,-1371.75,0.922551,0.211429
9800,2,2.70377,-1371.63,1.2168,0.22
9900,2,2.18892,-1373.54,2.28548,0.231111
10000,2,2.31494,-1369.32,2.0569,0.238
10100,2,3.45647,-1369.23,0.778042,0.32
10200,2,3.40597,-1370.2,0.877679,0.275
10300,2,2.85185,-1370.06,1.51239,0.283333
10400,2,2.96417,-1369.26,1.31353,0.2775
10500,2,1.59318,-1368.92,2.74052,0.268
10600,2,1.92332,-1363.37,2.8035,0.285
10700,2,3.23779,-1362.91,1.48678,0.274286
10800,3,4.7021,-1362.35,2.37322,0.275
10900,3,5.0997,-1361.41,1.63181,0.291111
11000,3,4.27389,-1370.84,0.469562,0.339125
11100,3,5.42508,-1375.59,1.79933,0.4
11200,4,4.15933,-1371.01,4.52532,0.365
11300,4,8.28271,-1369.06,0.642942,0.36
11400,4,1.16303,-1369.61,7.06346,0.3625
11500,4,4.66495,-1373.52,2.13093,0.374
11600,4,2.75442,-1370.22,3.55568,0.353333
11700,4,7.36181,-1370.99,1.25051,0.347143
11800,4,6.50478,-1366.91,2.23007,0.34125
11900,4,5.78531,-1369.38,1.99337,0.347778
12000,3,0.912121,-1367.8,3.47664,0.35
12100,3,3.87097,-1366.95,2.22364,0.27
12200,3,4.31868,-1365.42,1.76224,0.36
12300,3,6.49153,-1362.85,0.246851,0.34
12400,3,3.56501,-1361.37,2.70356,0.34
12500,3,5.57271,-1361.38,1.42267,0.328
12600,3,4.7522,-1363.02,2.53894,0.328333
12700,3,5.71448,-1358.7,1.37543,0.321429
12800,3,3.30164,-1364.64,3.68224,0.3075
12900,3,3.99383,-1360.26,1.79007,0.313333
13000,3,2.73263,-1360.23,3.01831,0.311
13100,3,0.533873,-1351.17,0.765013,0.33
13200,3,0.71476,-1350.54,0.935989,0.335
13300,3,0.744446,-1349.18,1.80397,0.343333
13400,3,-0.569185,-1349.42,2.97017,0.33
13500,3,2.48959,-1348.39,1.66971,0.33
13600,3,2.498,-1354.06,1.39868,0.345
13700,3,1.17218,-1348.75,2.8007,0.35
13800,3,2.15746,-1348.56,1.80291,0.34875
13900,3,3.41667,-1346.31,1.05854,0.348889
14000,3,2.9903,-1346.47,2.31243,0.35
14100,3,4.36537,-1351.04,0.873352,0.31
14200,3,2.49948,-1346.88,2.67077,0.35
14300,3,2.90301,-1351.76,2.1684,0.326667
14400,3,3.22917,-1350.17,1.74837,0.3075
14500,3,3.41477,-1349.48,1.01554,0.306
14600,3,2.4874,-1344.67,2.26165,0.321667
14700,3,3.3173,-1344.6,1.40002,0.327143
14800,4,3.51069,-1346.77,2.81388,0.325
14900,4,4.76483,-1345.39,1.43472,0.325556
15000,4,7.03373,-1337.69,2.12945,0.3368
15100,4,3.80919,-1337.1,5.4655,0.38
15200,4,6.81108,-1337.96,2.3615,0.4
15300,3,-0.203418,-1336.9,4.39131,0.37
15400,3,1.24531,-1337.42,2.90878,0.345
15500,3,3.04693,-1336.74,1.35125,0.336
15600,3,3.9849,-1339.54,2.07265,0.326667
15700,3,3.47982,-1337.16,2.09032,0.321429
15800,3,3.17008,-1337.22,2.27035,0.3175
15900,3,3.24101,-1337.1,2.69976,0.312222
16000,3,3.93687,-1335.54,1.78912,0.315
16100,3,5.151,-1335,0.550028,0.27
16200,3,3.62869,-1334.62,2.19063,0.26
16300,4,-1.07244,-1328.12,3.6443,0.283333
16400,4,2.49138,-1330.22,4.0295,0.3175
16500,5,5.66283,-1326.59,2.06225,0.328
16600,5,6.30725,-1327.21,2.58623,0.338333
16700,5,8.22316,-1328.74,2.13916,0.35
16800,5,6.94929,-1328.98,3.87894,0.35375
16900,5,6.55613,-1330.83,3.89734,0.361111
17000,4,5.81005,-1329.75,1.4365,0.359
17100,4,4.32497,-1329.78,2.46576,0.37
17200,4,5.8254,-1328.24,1.36222,0.365
17300,4,3.15629,-1329.89,4.08443,0.353333
17400,4,6.32964,-1328.72,0.822974,0.35
17500,4,4.99805,-1329.35,2.20643,0.338
17600,4,7.41057,-1331.87,1.16785,0.345
17700,4,5.74964,-1333.04,2.15548,0.354286
17800,4,5.30672,-1328.64,2.52367,0.355
17900,4,6.51237,-1326.95,1.31319,0.363333
18000,4,7.976,-1330.2,0.666591,0.362
18100,4,3.73601,-1329.67,4.58192,0.42
18200,4,5.61107,-1327.1,2.73893,0.435
18300,4,7.23813,-1328.43,1.46003,0.416667
18400,4,5.50611,-1328.95,2.33234,0.415
18500,4,6.63925,-1325.79,2.31818,0.42
18600,4,5.94207,-1329.9,1.9061,0.416667
18700,4,6.33732,-1327.56,1.8194,0.405714
18800,4,5.96292,-1325.79,2.06614,0.41
18900,4,2.80674,-1325.8,4.57935,0.404444
19000,4,4.97853,-1325.41,2.6191,0.395
19100,4,4.66257,-1326.93,4.15523,0.39
19200,4,6.92765,-1330.01,1.5464,0.4
19300,4,6.46671,-1325.81,0.908994,0.386667
19400,4,5.69116,-1325.58,1.83368,0.38
19500,4,4.26856,-1329.29,1.61954,0.38
19600,4,5.40585,-1327.25,2.00606,0.386667
19700,4,3.7738,-1330.22,3.31878,0.391429
19800,4,2.39407,-1327.9,1.97157,0.38875
19900,5,5.25577,-1330.3,4.44818,0.382222
20000,5,8.66948,-1328.57,1.43146,0.386
20100,5,7.67813,-1327.49,2.73693,0.43
20200,5,5.51491,-1326.92,3.92429,0.415
20300,4,5.09057,-1326.52,2.15292,0.426667
20400,5,3.5275,-1325.56,1.8496,0.41
20500,5,4.58545,-1328.79,2.24625,0.412
20600,5,2.65981,-1325.91,4.32209,0.413333
20700,5,6.57276,-1327.25,2.74885,0.4
20800,6,9.11075,-1323.69,1.95259,0.40125
20900,6,5.42336,-1320.39,5.57149,0.392222
21000,6,3.81946,-1298.56,5.87444,0.318048
21100,6,6.8237,-1297.97,2.64717,0.29
21200,6,5.67325,-1299.22,3.55253,0.275
21300,6,7.27201,-1296.67,3.96249,0.313333
21400,6,8.61172,-1291.92,3.77766,0.3125
21500,6,9.48963,-1290.13,3.10027,0.33
21600,6,5.07101,-1289.96,7.08389,0.336667
21700,6,7.45175,-1285.33,3.07927,0.337143
21800,6,8.76295,-1287.32,4.03371,0.345
21900,6,8.66493,-1287.2,2.21888,0.355556
22000,6,8.82772,-1289.99,2.88265,0.409938
22100,6,8.89227,-1291.06,3.60527,0.37
22200,6,10.4638,-1294.26,2.57322,0.39
22300,6,7.53063,-1296.7,6.3605,0.366667
22400,6,11.1793,-1294.8,2.39495,0.375
22500,6,9.73909,-1290.5,2.27396,0.378
22600,6,9.14638,-1291.05,2.78262,0.371667
22700,6,8.19708,-1288.96,3.13676,0.381429
22800,7,8.54692,-1290.62,2.30667,0.38875
22900,7,6.14794,-1291.57,4.594,0.382222
23000,8,6.2302,-1280.13,6.59318,0.3735
23100,8,8.12305,-1275.52,5.35823,0.44
23200,8,7.7859,-1277.16,5.78891,0.375
23300,7,7.40008,-1280.65,4.16704,0.39
23400,7,9.16784,-1278.64,4.5543,0.4075
23500,7,8.64601,-1282.07,5.34188,0.414
23600,7,6.25856,-1278.16,5.06126,0.415
23700,6,10.8884,-1278.64,2.30029,0.407143
23800,6,9.78185,-1277.32,3.5306,0.42375
23900,6,11.8899,-1272.47,1.71881,0.412222
24000,8,10.2495,-1267.19,5.10598,0.393
24100,8,9.01831,-1269.62,6.2169,0.59
24200,8,14.2183,-1265.05,3.20653,0.525
24300,8,15.0924,-1265.93,3.48541,0.483333
24400,8,13.7972,-1262.06,3.40026,0.455
24500,8,12.0023,-1263.12,4.39873,0.45
