   turnover eps fixed.eps runorder deltaAICc   AICc predictedAICc     lnL
1         7   1        NA        1     11.47 425.78        425.78 -203.07
2         4   3        NA        1      6.02 420.33        420.33 -201.52
3         1   1        NA        1     23.08 437.39        437.39 -216.64
4         4   2        NA        1      3.48 417.79        417.79 -201.40
5         4   1        NA        1      2.17 416.47        416.47 -201.87
6         1   2        NA        4      1.40 415.71        415.71 -203.68
7         5   1        NA        2      5.17 419.48        419.48 -202.24
8         2   1        NA        3      0.00 414.31        414.31 -202.98
9         5   2        NA        2      6.21 420.51        420.51 -201.61
10        3   3        NA        2      5.34 419.64        419.64 -202.32
11        3   2        NA        2      3.06 417.37        417.37 -202.31
12        6   2        NA        5     12.24 426.54        421.51 -203.45
13        4   5        NA       NA        NA     NA        423.35      NA
14        3   1        NA        2      1.25 415.56        415.56 -202.51
15        2   3        NA        3      2.94 417.25        417.25 -202.25
16        2   7        NA       NA        NA     NA        442.43      NA
17        4   7        NA       NA        NA     NA        425.10      NA
18        2   2        NA        3      1.35 415.66        415.66 -202.56
19        5   3        NA        5     10.19 424.50        421.33 -202.43
20        3   4        NA        3      7.63 421.93        421.93 -202.32
21        5   5        NA       NA        NA     NA        422.56      NA
22        1   3        NA        4      3.02 417.32        417.32 -203.40
23        3   9        NA       NA        NA     NA        444.67      NA
24        5   6        NA       NA        NA     NA        424.76      NA
25        6   1        NA        3      7.11 421.41        421.41 -202.06
26        2   5        NA        5      7.69 422.00        419.30 -202.35
27        1   5        NA        4     25.89 440.19        440.19 -212.60
28        8   4        NA       NA        NA     NA        428.94      NA
29       10   1        NA       NA        NA     NA        428.78      NA
30        1   7        NA       NA        NA     NA        442.19      NA
31        5   4        NA        5     12.07 426.37        421.74 -202.18
32        6   4        NA       NA        NA     NA        422.56      NA
33        9   1        NA       NA        NA     NA        427.78      NA
34        3   5        NA       NA        NA     NA        422.93      NA
35        1   4        NA        4      5.25 419.56        419.56 -203.41
36        7   4        NA       NA        NA     NA        423.34      NA
37        8   1        NA       NA        NA     NA        426.78      NA
38        7   2        NA       NA        NA     NA        426.78      NA
39        2   8        NA       NA        NA     NA        443.36      NA
40        9   2        NA       NA        NA     NA        428.02      NA
41        4   4        NA        5      8.14 422.45        421.33 -201.41
42        1   6        NA       NA        NA     NA        441.19      NA
43        2   4        NA        4      3.99 418.30        418.30 -201.65
44        1  10        NA       NA        NA     NA        445.19      NA
45        8   3        NA       NA        NA     NA        428.02      NA
46        2   9        NA       NA        NA     NA        444.32      NA
47        6   6        NA       NA        NA     NA        423.93      NA
48        9   3        NA       NA        NA     NA        428.61      NA
49        4   8        NA       NA        NA     NA        426.06      NA
50       10   2        NA       NA        NA     NA        428.94      NA
51        7   3        NA       NA        NA     NA        427.78      NA
52        8   2        NA       NA        NA     NA        427.19      NA
53        2   6        NA       NA        NA     NA        441.61      NA
54        3   7        NA       NA        NA     NA        443.02      NA
55        6   3        NA       NA        NA     NA        421.93      NA
56        7   5        NA       NA        NA     NA        423.93      NA
57        1   8        NA       NA        NA     NA        443.19      NA
58       11   1        NA       NA        NA     NA        429.78      NA
59        4   6        NA       NA        NA     NA        424.17      NA
60        6   5        NA       NA        NA     NA        423.16      NA
61        3   8        NA       NA        NA     NA        443.80      NA
62        1  11        NA       NA        NA     NA        446.19      NA
63        5   7        NA       NA        NA     NA        425.54      NA
64        3   6        NA       NA        NA     NA        423.93      NA
65        2  10        NA       NA        NA     NA        445.29      NA
66        1   9        NA       NA        NA     NA        444.19      NA
