generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,'Lupinus_diffusus','Lupinus_texensis',0,0.032,0,0.00908186,0
1000,'Lupinus_diffusus','Lupinus_texensis',0,0.361295,0.118366,0.173241,0
2000,'Lupinus_diffusus','Lupinus_texensis',0,0.317158,0.0547413,0.0814264,0
3000,'Lupinus_diffusus','Lupinus_texensis',0,0.603874,-0.00876562,0.269865,0
4000,'Lupinus_diffusus','Lupinus_texensis',0,0.945905,-0.0334197,0.353518,0
5000,'Lupinus_diffusus','Lupinus_texensis',0,0.17251,0.133168,0.0152108,0
5000,'Lupinus_lanatus',NA,11.4375,0.297782,-0.096377,1.20218,0
5000,'Lupinus_sparsiflorus',NA,12.1987,1.15037,-0.189826,0.45914,0
5000,'Lupinus_guadalupensis',NA,11.7246,1.24058,0.00889147,1.45287,0
5000,'Lupinus_perennis','Lupinus_mexicanus',7.84553,0.63263,0.0863423,0.0767741,0
6000,'Lupinus_diffusus','Lupinus_texensis',0,0.48931,-0.0814514,0.0116251,0
6000,'Lupinus_albescens',NA,11.573,0.809541,0.00150676,0.644934,0
6000,'Lupinus_magnistipulatus','Lupinus_lanatus',7.89424,0.704779,-0.0415331,0.0416463,0
6000,'Lupinus_duranii',NA,12.184,0.0857589,-0.199322,0.688116,0
6000,'Lupinus_nubigenus','Lupinus_purosericeus',11.6883,0.932138,0.0702887,0.0147019,0
6000,'Lupinus_pachylobus','Lupinus_perennis',7.55917,0.629253,0.113037,0.0760904,0
7000,'Lupinus_diffusus','Lupinus_texensis',0,0.656578,-0.0716648,0.161868,0
7000,'Lupinus_texensis','Lupinus_linearis',3.02958,0.838718,0.00831829,0.32449,0
7000,'Lupinus_sierrae_blancae',NA,12.0536,0.193392,0.106214,1.13381,0
7000,'Lupinus_guadalupensis','Lupinus_pachylobus',6.69197,0.717217,0.0375244,0.267448,0
8000,'Lupinus_diffusus','Lupinus_texensis',0,0.537262,-0.0702099,0.0921703,0
8000,'Lupinus_pachylobus','Lupinus_perennis',7.56751,0.778521,0.0351811,0.061266,0
9000,'Lupinus_diffusus','Lupinus_texensis',0,0.288979,0.0954599,0.13555,0
10000,'Lupinus_diffusus','Lupinus_texensis',0,0.812771,-0.131788,0.054632,0
10000,'Lupinus_gibertianus','Lupinus_uleanus',10.5505,1.20625,-0.034392,0.381464,0
10000,'Lupinus_paraguariensis','Lupinus_parvifolius',9.42936,1.34964,0.0700729,1.07912,0
10000,'Lupinus_guadalupensis',NA,10.388,1.52783,-0.00522083,3.37474,0
10000,'Lupinus_elegans',NA,12.0133,0.720988,-0.0547861,1.02925,0
10000,'Lupinus_arvensis','Lupinus_lindleyanus',11.7637,2.29252,0.0242004,0.0981971,0
10000,'Lupinus_pachylobus','Lupinus_perennis',7.05614,0.666679,0.115086,0.0541399,0
11000,'Lupinus_diffusus','Lupinus_texensis',0,0.666758,-0.0490572,0.381527,0
11000,'Lupinus_pachylobus','Lupinus_perennis',7.49242,0.724103,0.0770406,0.0333361,0
12000,'Lupinus_diffusus','Lupinus_texensis',0,0.464399,-0.0619421,0.0161758,0
12000,'Lupinus_stiversii',NA,11.5456,2.09975,0.00163454,1.19718,0
12000,'Lupinus_guadalupensis',NA,7.82474,0.330444,-0.00815785,0.597674,0
12000,'Lupinus_guadalupensis','Lupinus_pachylobus',6.78265,1.94211,-0.079422,0.301038,0
13000,'Lupinus_diffusus','Lupinus_texensis',0,0.491362,-0.0443896,0.175329,0
