generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1.51396,-416.953,1,1
1000,0,-1.91492,-218.225,0.305683,0.344
2000,0,-0.957386,-216.765,0.0578389,0.327
3000,0,-1.53234,-216.835,0.513922,0.267911
4000,0,-2.56467,-218.626,1.23128,0.253
5000,4,-11.3626,-207.75,0.866943,0.477333
6000,5,-12.466,-197.203,2.69796,0.573
7000,3,-7.2584,-205.524,1.70224,0.595
8000,1,-3.45261,-199.407,1.23998,0.514
9000,0,-1.54499,-216.789,0.281104,0.3526
10000,6,-15.6384,-201.454,1.11671,0.477652
11000,1,-3.50581,-203.837,0.967071,0.520667
12000,3,-8.54917,-203.392,1.83628,0.5385
13000,1,-2.82351,-200.632,0.538937,0.47
14000,2,-6.69457,-199.115,1.96257,0.512
15000,1,-4.44932,-202.667,1.00641,0.485
16000,1,-3.34379,-204.387,1.09095,0.471408
17000,1,-4.71304,-199.464,2.1566,0.51575
18000,1,-2.00015,-200.617,0.322159,0.488
19000,1,-4.11915,-199.686,1.10119,0.519333
20000,1,-4.2383,-200.711,2.49578,0.538
21000,1,-4.78699,-202.98,1.53963,0.518167
22000,1,-5.05342,-198.601,1.93897,0.54225
23000,1,-3.9665,-205.13,0.253897,0.559
24000,1,-4.93598,-199.006,1.5406,0.509
25000,2,-9.96617,-203.075,3.77156,0.512
26000,1,-4.93862,-200.998,1.07083,0.501412
27000,1,-3.67954,-203.123,0.738388,0.511
28000,1,-3.75098,-203.054,1.08354,0.493
29000,1,-3.82688,-201.317,1.12871,0.467
30000,2,-4.6375,-203.623,0.263383,0.475
31000,3,-9.03619,-205.749,1.30875,0.572
32000,1,-2.05542,-203.494,0.0839496,0.492
33000,1,-3.22067,-199.67,0.91512,0.554364
34000,1,-4.12985,-201.864,0.537142,0.478
35000,1,-3.4342,-199.425,1.13934,0.419
36000,1,-3.35659,-199.106,0.640013,0.419
37000,1,-4.81033,-200.555,2.99466,0.49875
38000,4,-10.9841,-201.817,2.52113,0.526923
39000,1,-5.02146,-200.516,0.55942,0.492
40000,1,-4.12524,-201.804,1.01743,0.49
41000,1,-2.95442,-202.292,0.151003,0.498
42000,2,-7.44488,-200.283,2.52998,0.484
43000,1,-4.19335,-201.138,1.18304,0.508
44000,1,-2.34133,-199.47,0.300361,0.474
45000,1,-2.51749,-199.06,0.422633,0.495
46000,1,-5.53921,-201.151,3.13158,0.503571
47000,1,-3.59901,-197.782,0.859848,0.459
48000,1,-3.92968,-204.616,0.629701,0.510636
49000,2,-4.32701,-198.267,0.548375,0.514
50000,1,-3.28978,-199.066,0.766838,0.477
51000,3,-12.5917,-200.615,1.34556,0.48125
52000,1,-5.41396,-201.598,2.15425,0.483
53000,1,-2.80502,-198.579,0.276973,0.461
54000,1,-3.90038,-203.622,0.956242,0.497
55000,1,-7.0994,-204.002,2.57006,0.472
56000,3,-8.30372,-201.345,0.902581,0.589
57000,1,-4.48355,-201.86,1.72999,0.495
58000,1,-3.17186,-202.849,0.737965,0.473
59000,1,-2.68018,-204.759,0.0960349,0.527444
60000,2,-6.74209,-199.049,3.20938,0.524
61000,1,-3.16165,-200.9,0.813743,0.546
62000,3,-12.5596,-200.538,2.62792,0.473
63000,1,-3.92001,-204.552,0.332004,0.5376
64000,2,-5.59098,-201.601,0.666425,0.546
65000,1,-4.84458,-204.195,2.19998,0.453
66000,1,-4.28909,-203.434,0.653895,0.492
67000,2,-8.90093,-200.462,2.28791,0.5
68000,1,-3.36621,-202.468,1.05545,0.526333
69000,2,-6.95092,-205.583,1.46174,0.474
70000,1,-3.15723,-203.552,0.256924,0.479
71000,1,-4.36717,-200.357,0.559927,0.453
72000,1,-5.41953,-201.62,1.02227,0.527039
73000,1,-3.95999,-201.909,0.444097,0.499667
74000,1,-7.47465,-199.477,3.33694,0.428
75000,1,-4.06055,-202.601,0.595417,0.489667
76000,1,-4.3364,-200.114,1.67971,0.47
77000,2,-5.52603,-202.078,1.07239,0.464667
78000,1,-3.87784,-200.162,0.22661,0.540429
79000,1,-3.50077,-200.282,1.15157,0.472
80000,1,-4.21723,-199.908,1.97655,0.528619
81000,1,-5.6733,-203.725,0.941151,0.46
82000,1,-3.36634,-201.086,1.20729,0.483
83000,1,-2.30293,-199.1,0.406789,0.5
84000,1,-5.36824,-200.033,2.35283,0.508
85000,3,-6.34144,-201.914,1.12508,0.55
86000,1,-6.27465,-205.451,0.702027,0.5354
87000,1,-2.79638,-199.743,0.123009,0.421
88000,1,-5.12318,-200.341,1.59353,0.434
89000,1,-3.07356,-201.029,0.714676,0.5113
90000,1,-9.27829,-204.46,3.13845,0.502
91000,1,-5.24909,-201.915,1.57313,0.522
92000,1,-4.77026,-204.147,1.30907,0.515
93000,1,-3.69964,-200.166,1.23764,0.487
94000,3,-14.199,-202.007,2.47528,0.49
95000,1,-5.09083,-212.363,1.85698,0.4765
96000,1,-3.87685,-201.712,1.44664,0.432
97000,2,-4.03224,-200.635,1.3753,0.475
98000,1,-3.00951,-199.117,0.224281,0.471
99000,1,-2.85145,-204.207,0.668516,0.485
100000,1,-2.66578,-199.632,0.890733,0.542
101000,1,-3.80631,-199.98,1.1511,0.459
102000,2,-4.30381,-199.042,0.91754,0.558
103000,1,-2.34013,-203.581,0.517737,0.491
104000,1,-2.93296,-200.507,0.49244,0.492
105000,1,-4.16949,-201.891,0.679699,0.549294
106000,1,-5.37321,-200.426,2.00149,0.476
107000,2,-6.38632,-201.047,2.42197,0.517
108000,3,-9.0048,-203.447,2.95859,0.524
109000,3,-13.1699,-203.513,2.20083,0.573
110000,6,-19.0237,-196.566,5.40303,0.5382
111000,1,-3.81319,-199.732,0.621988,0.533
112000,1,-3.11084,-200.738,0.356244,0.454
113000,2,-8.00456,-201.516,2.4532,0.530263
114000,5,-16.2518,-203.669,2.93955,0.5476
115000,1,-3.58808,-201.165,1.37389,0.586
116000,2,-6.25883,-197.714,0.555992,0.525
117000,3,-10.6532,-207.545,1.81378,0.46
118000,1,-4.14177,-200.938,1.49883,0.494
119000,1,-3.32777,-200.566,0.517571,0.475
120000,1,-3.70624,-204.138,1.37245,0.523286
121000,1,-5.86593,-200.277,1.26072,0.535333
122000,1,-3.7277,-201.625,1.0857,0.456
123000,2,-6.78128,-196.104,2.13769,0.491286
124000,1,-2.93398,-198.853,0.766043,0.482
125000,3,-11.5271,-201.547,2.49924,0.5465
126000,1,-4.4751,-199.445,1.72789,0.581
127000,1,-5.81593,-199.571,3.57696,0.560714
128000,1,-2.6478,-203.754,0.510841,0.463
129000,1,-4.04244,-206.134,0.227643,0.519
130000,1,-6.79365,-201.479,4.25489,0.515364
131000,1,-5.51731,-199.388,1.48234,0.511143
132000,1,-4.03471,-202.862,1.4033,0.484
133000,3,-15.4451,-203.882,3.90103,0.467
134000,1,-3.70559,-202.688,0.537337,0.544
135000,1,-3.92481,-200.169,0.812072,0.506333
136000,1,-4.00859,-200.488,1.42856,0.46
137000,1,-5.20632,-199.481,2.55243,0.499333
138000,1,-4.35095,-200.541,1.17243,0.481
139000,1,-5.97972,-204.086,2.57968,0.455
140000,1,-3.43144,-200.167,0.187534,0.477
141000,1,-4.25307,-201.143,1.11506,0.5318
142000,1,-2.48509,-198.152,0.477188,0.464
143000,1,-5.02843,-202.146,1.52333,0.5295
144000,1,-3.90674,-200.927,0.402755,0.42
145000,2,-7.04555,-201.886,1.86388,0.5106
146000,1,-4.14717,-200.305,1.24873,0.501
147000,2,-4.80525,-199.297,0.859272,0.5004
148000,1,-2.9701,-198.734,0.527445,0.505
149000,2,-6.82686,-201.852,2.16341,0.482
150000,1,-6.21966,-206.073,1.89543,0.529238
151000,1,-4.31447,-199.918,1.00494,0.5095
152000,2,-8.46916,-200.76,0.859384,0.476
153000,1,-2.91741,-198.326,0.89237,0.52
154000,1,-4.09462,-205.356,1.47266,0.53725
155000,3,-10.2196,-199.988,2.6984,0.531
156000,1,-2.46564,-200.153,0.381207,0.537
157000,1,-2.99827,-200.012,0.988144,0.485
158000,1,-3.07574,-198.313,0.813428,0.491
159000,1,-2.74472,-200.27,0.251728,0.496
160000,1,-3.94929,-200.219,0.497052,0.431
161000,1,-6.58684,-204.125,2.18061,0.532267
162000,2,-14.7684,-200.023,5.11048,0.4835
163000,1,-2.8426,-200.315,1.15778,0.494
164000,1,-3.97897,-202.071,1.73573,0.484
165000,1,-2.50745,-208.235,0.615345,0.51535
166000,2,-9.95902,-200.899,2.8196,0.464
167000,1,-6.87463,-205.971,1.14569,0.51275
168000,1,-4.89466,-200.919,0.140394,0.432
169000,2,-4.9299,-198.371,1.61105,0.492333
170000,1,-4.01368,-201.297,1.0179,0.533
171000,1,-5.15949,-200.095,3.01859,0.513
172000,1,-3.7629,-200.763,1.46311,0.491125
173000,1,-5.39363,-201.037,1.77388,0.475
174000,1,-2.85252,-204.5,0.617443,0.446
175000,2,-6.30232,-205.863,1.05035,0.504
176000,1,-5.4959,-202.329,2.93075,0.512
177000,1,-4.60503,-200.081,1.32661,0.499
178000,1,-5.39114,-200.771,1.24146,0.522
179000,1,-4.29537,-200.303,2.27323,0.531625
180000,1,-2.43134,-199.791,0.662744,0.518
181000,1,-4.13448,-201.268,1.34033,0.507
182000,1,-2.69072,-206.327,0.705705,0.461
183000,1,-4.19305,-202.77,1.13391,0.438
184000,1,-5.17951,-201.461,0.578706,0.515938
185000,1,-4.58488,-199.332,1.37626,0.484
186000,1,-3.33107,-203.937,0.405352,0.448
187000,1,-3.09056,-203.736,0.72599,0.446
188000,1,-2.29766,-202.118,0.409317,0.562
189000,1,-5.00078,-200.886,3.18059,0.521
190000,1,-3.97038,-201.276,1.37099,0.48
191000,2,-5.34938,-196.269,1.15306,0.5
192000,3,-8.29494,-198.601,2.61416,0.551
193000,4,-11.9639,-193.818,2.42661,0.566
194000,1,-2.30645,-200.251,0.443707,0.444707
195000,2,-5.69007,-199.122,2.27062,0.488
196000,1,-4.54506,-201.385,1.13687,0.502
197000,1,-3.28109,-202.432,0.80235,0.506
198000,1,-4.98794,-202.135,1.59743,0.5099
199000,2,-6.27541,-202.766,0.787561,0.461
200000,1,-4.58562,-199.137,0.784833,0.483
201000,2,-5.87193,-199.716,2.33922,0.576
202000,1,-3.94063,-200.354,2.03656,0.555
203000,1,-2.87545,-202.173,0.779106,0.499
204000,1,-2.48771,-200.065,0.28631,0.520333
205000,1,-4.00407,-200.293,1.11049,0.535
206000,3,-9.85716,-200.634,2.70408,0.519667
207000,1,-4.31355,-203.062,1.61778,0.53
208000,2,-7.46183,-201.317,3.69844,0.468
209000,1,-3.97489,-200.195,0.786776,0.467
210000,2,-7.25163,-198.728,3.53191,0.494
211000,1,-2.75881,-198.582,0.167263,0.512
212000,1,-5.03711,-198.841,2.98023,0.48
213000,1,-4.31782,-201.724,0.523985,0.517
214000,2,-6.14037,-199.607,2.02507,0.501
215000,1,-5.69728,-199.696,0.547225,0.5415
216000,3,-8.04712,-200.777,1.82574,0.513333
217000,1,-3.58314,-205.242,1.39481,0.552
218000,1,-3.14007,-201.186,0.579841,0.505
219000,1,-4.81921,-201.712,1.04657,0.453
220000,3,-7.57661,-204.913,2.16795,0.465
221000,1,-4.92079,-199.566,1.40947,0.525429
222000,1,-5.02312,-200.801,0.917354,0.4945
223000,2,-7.44786,-203.095,1.20366,0.4735
224000,2,-8.31018,-202.364,2.00663,0.543161
225000,1,-5.12131,-210.637,0.284624,0.505
226000,1,-2.50396,-199.915,0.252156,0.475
227000,1,-6.47245,-199.319,2.75804,0.521
228000,1,-2.39733,-200.944,0.16645,0.495
229000,1,-2.61362,-200.205,0.772181,0.506286
230000,1,-2.48312,-200.955,0.788302,0.484
231000,1,-2.89041,-199.49,0.724518,0.517
232000,1,-2.17444,-199.253,0.286918,0.452
233000,1,-3.7883,-201.595,1.48604,0.503875
234000,1,-3.33036,-201.318,0.15706,0.469
235000,1,-3.47666,-203.434,1.11693,0.47
236000,1,-3.56397,-200.635,1.39098,0.502571
237000,2,-8.3022,-200.4,1.22076,0.5245
238000,2,-5.13819,-203.892,1.23249,0.519
239000,2,-4.66576,-200.796,0.520983,0.563
240000,1,-3.20678,-200.194,1.00961,0.487
241000,2,-6.82631,-199.856,1.3598,0.548
242000,2,-6.53485,-202.597,1.03972,0.545
243000,1,-3.0195,-203.522,0.891632,0.50575
244000,1,-2.63448,-199.886,0.159576,0.45
245000,1,-3.82578,-201.101,0.879317,0.567
246000,1,-2.84484,-200.656,0.878757,0.495
