generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,6.75166,-418.675,1,0
1000,0,5.78136,-397.951,0.612286,0.194805
2000,0,5.40711,-398.045,0.828933,0.174
3000,0,5.34717,-397.902,0.878577,0.173609
4000,0,5.75524,-398.84,0.167807,0.155
5000,0,6.26853,-397.708,0.19166,0.173
6000,0,5.54461,-398.423,0.455935,0.139
7000,0,6.46403,-400.026,0.370631,0.161
8000,1,10.8275,-402.057,1.56066,0.211
9000,0,5.83533,-401.217,0.78947,0.172444
10000,0,5.21121,-397.603,0.354213,0.157
11000,0,5.45793,-398.687,0.384803,0.174
12000,0,5.72481,-399.712,0.534721,0.173
13000,0,6.0395,-399.908,0.342225,0.16
14000,0,5.82087,-397.951,0.156101,0.179
15000,0,5.96384,-399.112,0.0532712,0.176
16000,0,6.37094,-397.884,0.0816882,0.194
17000,0,6.26479,-398.176,0.303515,0.171
18000,0,5.56506,-397.676,0.151271,0.160213
19000,0,6.03139,-400.06,0.0121995,0.142
20000,0,5.81915,-399.155,0.0987651,0.197
21000,0,4.52489,-398.038,1.71276,0.181
22000,0,5.99889,-399.483,0.0358621,0.1662
23000,0,5.6417,-398.364,0.838757,0.176429
24000,0,4.01941,-398.553,1.95207,0.169
25000,0,5.34165,-398.562,0.172316,0.234
26000,0,5.43551,-397.474,0.693203,0.153
27000,0,2.55939,-399.255,0.393905,0.15825
28000,0,6.12417,-397.908,0.317769,0.185
29000,0,5.24313,-398.148,1.25824,0.17275
30000,0,5.67911,-398.131,0.317656,0.153
31000,0,5.99925,-397.998,0.357112,0.163667
32000,0,6.22875,-398.013,0.337391,0.148
33000,0,6.09858,-398.626,0.273755,0.168
34000,0,6.16426,-398.042,0.0036176,0.169
35000,0,5.33118,-398.506,0.197491,0.161
36000,0,5.20074,-399.081,0.339384,0.161619
37000,0,5.1778,-399.325,0.408572,0.189
38000,0,5.16306,-398.615,0.811798,0.1824
39000,0,5.08343,-399.583,0.732701,0.219
40000,0,6.1472,-399.111,0.137074,0.159
41000,0,5.61046,-398.728,0.384889,0.172455
42000,0,5.5954,-397.404,0.44693,0.154
43000,0,6.36503,-398.475,0.0445856,0.17
44000,0,6.32773,-399.915,0.0351976,0.171
45000,0,6.67438,-401.891,0.30194,0.171
46000,0,4.42012,-398.119,0.0840526,0.179333
47000,0,6.24466,-398.068,0.0109754,0.178
48000,0,6.52291,-398.75,0.149738,0.156
49000,0,5.22714,-400.181,0.389137,0.198
50000,0,5.33421,-399.828,0.397928,0.246
51000,0,5.62659,-399.429,0.0953218,0.155
52000,0,4.94128,-399.913,1.09411,0.18
53000,0,6.18059,-397.998,0.206332,0.182143
54000,0,6.29408,-398.509,0.396923,0.19
55000,0,6.13621,-398.155,0.0959966,0.185
56000,0,5.48513,-398.649,0.25383,0.198
57000,0,5.85065,-398.574,0.426639,0.179
58000,0,6.09207,-397.909,0.138343,0.182
59000,0,5.85899,-398.415,0.578306,0.167
60000,0,6.39066,-398.757,0.11484,0.189
61000,0,6.52079,-400.813,0.458729,0.179
62000,0,6.1211,-400.641,0.116947,0.1752
63000,0,5.25784,-399.004,0.426191,0.173
64000,0,6.72577,-401.226,0.107667,0.179
65000,0,5.44045,-399.548,1.1126,0.179
66000,0,6.49487,-398.683,0.0563428,0.194
67000,0,2.93597,-397.55,2.54809,0.1702
68000,0,5.07363,-397.873,0.0810215,0.165
69000,0,5.31151,-397.544,0.632034,0.183833
70000,0,3.62165,-398.412,1.5261,0.16975
71000,0,5.14886,-398.185,0.404272,0.194
72000,0,6.44445,-398.022,0.114985,0.176
73000,0,4.49586,-397.582,0.921002,0.1584
74000,0,5.6577,-399.417,0.479653,0.17
75000,0,4.10712,-397.296,1.94173,0.189
76000,0,6.49994,-397.956,0.047075,0.167143
77000,0,6.04546,-397.944,0.368679,0.18
78000,0,5.70967,-397.913,0.683423,0.156
79000,0,6.03491,-398.329,0.0336492,0.179
80000,0,4.90499,-399.405,0.287568,0.17
81000,0,3.89162,-399.691,0.533807,0.164139
82000,0,4.93317,-398.988,0.365467,0.153
83000,0,2.35883,-398.36,2.97567,0.17
84000,0,5.22639,-398.806,0.321607,0.174
