generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,1,67,0,0.032,0,0.005,0
1000,1,67,0,0.098323,0.000205556,0.0123829,0
2000,1,67,0,0.09365,0.0141431,0.0635229,0
3000,1,67,0,0.0628411,0.0234465,0.0175487,0
4000,1,67,0,0.0634789,0.0193259,0.022278,0
5000,1,67,0,0.0912013,-0.00402997,0.0111795,0
6000,1,67,0,0.0501134,0.0304382,0.00747262,0
7000,1,67,0,0.0964413,-0.000861469,0.0131735,0
8000,1,67,0,0.0572377,0.0136961,0.00218284,0
9000,1,67,0,0.108869,-0.00365323,0.0132099,0
10000,1,67,0,0.094898,-0.00406808,0.00372876,0
11000,1,67,0,0.11158,-0.00749615,0.00423999,0
12000,1,67,0,0.100465,-0.0120432,0.014127,0
12000,31,41,30.898,0.22267,-0.00196777,0.0239972,0
13000,1,67,0,0.119863,-0.0107318,0.0233056,0
13000,31,41,32.5718,0.170783,0.0513286,0.0594067,0
14000,1,67,0,0.1893,-0.0160978,0.033885,0
15000,1,67,0,0.156555,-0.0127799,0.0343299,0
16000,1,67,0,0.155332,-0.0080602,0.054653,0
17000,1,67,0,0.138578,-0.00260433,0.0565202,0
18000,1,67,0,0.204139,-0.0114044,0.0916775,0
19000,1,67,0,0.222236,-0.0139343,0.0906017,0
20000,1,67,0,0.168153,-0.0104994,0.0471314,0
21000,1,67,0,0.0931686,0.00178924,0.0315452,0
22000,1,67,0,0.265212,-0.0208676,0.0645922,0
23000,1,67,0,0.115455,-0.00540779,0.0326725,0
24000,1,67,0,0.118436,-0.00295182,0.00799658,0
24000,95,NA,43.8537,0.380607,0.0198617,0.0901243,0
25000,1,67,0,0.190663,-0.0155672,0.0552511,0
26000,1,67,0,0.226531,-0.0255271,0.0527644,0
27000,1,67,0,0.231293,-0.0229412,0.0381474,0
28000,1,67,0,0.248355,-0.0228994,0.0559817,0
29000,1,67,0,0.163693,-0.0159122,0.0362328,0
30000,1,67,0,0.0919893,0.00204165,0.042488,0
31000,1,67,0,0.0698272,0.0181815,0.0287434,0
32000,1,67,0,0.113668,-0.00652293,0.0183808,0
33000,1,67,0,0.121174,-0.00858503,0.0262457,0
34000,1,67,0,0.215207,-0.0184001,0.062856,0
35000,1,67,0,0.186817,-0.0237001,0.0195118,0
36000,1,67,0,0.1646,-0.010784,0.0364513,0
37000,1,67,0,0.109616,-0.00410312,0.0303366,0
38000,1,67,0,0.0569125,0.0181582,0.00811212,0
39000,1,67,0,0.0667943,0.017838,0.00906303,0
40000,1,67,0,0.0847337,0.00176761,0.0225699,0
41000,1,67,0,0.079016,0.0120537,0.0134428,0
42000,1,67,0,0.0707329,0.007048,0.00695714,0
43000,1,67,0,0.0447153,0.066533,6.88688e-05,0
43000,52,54,41.1716,0.581291,-0.0186124,0.321074,0
44000,1,67,0,0.112984,0.00181879,0.0660638,0
45000,1,67,0,0.0865307,0.0077368,0.0270046,0
45000,96,NA,41.9394,0.387116,0.0174582,0.327582,0
46000,1,67,0,0.0766901,0.00211441,0.00172303,0
47000,1,67,0,0.061153,0.012138,0.0210337,0
48000,1,67,0,0.104131,-0.00330413,0.0162546,0
49000,1,67,0,0.135094,-0.00568137,0.0404415,0
