generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,t35,t5,0,0.032,0,0.005,0
1000,t35,t5,0,0.0954699,0.000735934,0.0941412,0
2000,t35,t5,0,0.0645976,0.00338651,0.0514318,0
3000,t35,t5,0,0.0575705,-0.010185,0.00445056,0
3000,t10,NA,94.5036,0.0340632,-0.000398178,0.037161,0
3000,s1,s16,76.6656,0.182589,-0.00959505,0.0381575,0
3000,s1,NA,90.5247,0.0615192,0.0049674,0.0195304,0
4000,t35,t5,0,0.129956,-0.010185,0.0489668,0
4000,s1,s16,85.3975,0.237779,-0.0182541,0.114484,0
5000,t35,t5,0,0.17514,-0.0129375,0.054661,0
5000,s1,s16,67.0451,0.166529,-0.000600396,0.0178024,0
6000,t35,t5,0,0.0572377,-0.0047275,0.0196948,0
6000,s1,s16,64.8178,0.135425,0.0010593,0.00114244,0
7000,t35,t5,0,0.0637556,-0.00678891,0.018626,0
7000,s1,s16,86.5859,0.329521,-0.0268036,0.0578799,0
7000,t37,t38,64.3653,0.0529199,-0.00197093,0.0646085,0
8000,t35,t5,0,0.0603166,-0.00544263,0.0241893,0
8000,s1,s16,78.7544,0.33182,-0.0180547,0.124772,0
9000,t35,t5,0,0.0658167,-0.00544263,0.0203503,0
9000,s2,NA,98.0855,0.17186,-0.0125435,0.17224,0
9000,s1,s16,85.5537,0.209757,-0.00512412,0.0331444,0
10000,t35,t5,0,0.0396083,-0.00544263,0.00932725,0
10000,s1,s16,81.4256,0.141149,0.00307808,0.0205257,0
11000,t35,t5,0,0.0509779,-0.00253009,0.0162306,0
11000,t6,NA,82.7945,0.11102,0.00635718,0.149716,0
11000,s1,s16,86.0462,0.212048,-0.00658828,0.0118592,0
12000,t35,t5,0,0.0569484,-0.0033648,0.0098049,0
12000,s1,s16,81.1553,0.174912,-0.0070492,0.00937648,0
13000,t35,t5,0,0.0292811,0.00214977,0.00238892,0
13000,s1,s16,77.0208,0.282593,-0.0161642,0.0822061,0
14000,t35,t5,0,0.0205361,0.0219345,0.0127257,0
14000,s1,s16,73.5271,0.223906,0.00927265,0.0848803,0
15000,t35,t5,0,0.0298656,0.00232594,0.0274059,0
15000,s1,s16,80.9948,0.213624,-0.00514629,0.0107344,0
16000,t35,t5,0,0.0655761,-0.00417669,0.0461126,0
