generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,4.14399,-275.701,1.73611,1
1000,0,4.45383,-265.829,0.562243,0.22
2000,0,5.35158,-265.033,0.0388751,0.212
3000,3,18.849,-254.282,2.21786,0.493
4000,1,7.34859,-254.478,0.181052,0.463
5000,1,8.83262,-256.607,0.373684,0.424
6000,1,9.78158,-254.406,1.10214,0.465
7000,2,11.1637,-251.887,0.887684,0.481
8000,1,6.41658,-254.401,1.36397,0.437
9000,2,12.871,-252.461,0.78974,0.469
10000,1,9.82853,-253.727,1.01257,0.448
11000,2,13.9897,-253.04,0.820286,0.442
12000,1,9.80503,-252.831,0.725039,0.47
13000,1,6.8956,-252.749,2.04017,0.449
14000,1,7.71274,-256.077,0.394201,0.507
15000,1,9.4083,-256.372,1.05885,0.473
16000,3,15.7794,-258.207,3.27331,0.512
17000,1,5.87353,-255.124,0.187295,0.471
18000,1,6.8612,-254.334,2.24346,0.504
19000,2,13.0935,-255.516,1.2862,0.488
20000,1,8.74147,-253.429,1.59361,0.523
21000,1,9.75246,-252.083,0.331289,0.476
22000,1,8.74446,-252.509,1.27513,0.461
23000,2,9.31381,-255.688,1.10275,0.464
24000,1,6.38517,-251.885,1.70014,0.487
25000,2,11.3552,-249.264,2.60661,0.481
26000,3,18.3621,-253.802,1.62229,0.541
27000,3,16.9206,-255.4,1.75435,0.537
28000,1,6.86685,-255.095,2.53941,0.52
29000,1,8.806,-256.701,1.48023,0.475
30000,1,7.84652,-254.668,1.02623,0.457
31000,1,10.0289,-254.316,0.288893,0.486
32000,1,8.42704,-254.274,1.98048,0.494
33000,3,15.506,-258.07,2.36962,0.53
34000,1,8.24445,-253.065,0.74227,0.503
35000,1,9.00319,-254.803,0.378221,0.441
36000,2,13.7109,-251.157,1.10624,0.466
37000,1,9.32271,-253.429,0.584176,0.473
38000,1,8.03952,-255.178,1.17238,0.475
39000,1,9.06367,-255.54,0.168584,0.441
40000,2,10.3856,-254.493,1.95861,0.471
41000,1,8.25882,-253.501,1.70297,0.46
42000,2,11.9794,-253.12,1.51103,0.433
43000,1,9.91543,-252.229,0.302549,0.444
44000,3,20.8098,-252.856,0.535604,0.468
45000,4,20.2058,-252.584,3.4113,0.537
46000,2,12.7314,-256.638,1.85897,0.53
47000,1,9.48112,-254.665,1.08027,0.497
48000,1,6.69934,-253.875,0.364576,0.479
49000,2,11.7941,-255.849,2.84458,0.455
50000,1,5.48572,-256.932,1.69231,0.497
51000,1,8.24181,-253.43,0.450842,0.339
52000,1,9.96928,-256.367,0.607663,0.462
53000,1,10.4269,-253.278,0.125284,0.517
54000,1,9.30721,-253.402,0.541169,0.485
55000,1,10.4913,-254.752,0.255984,0.467
56000,1,8.58786,-255.337,1.60511,0.499
57000,1,7.92451,-251.755,1.84732,0.427
58000,2,11.6646,-259.04,1.5728,0.437
59000,3,16.7136,-253.032,1.50247,0.478
60000,3,15.7185,-251.652,1.12944,0.48
61000,2,11.7689,-250.867,2.30368,0.512
62000,1,8.78553,-253.392,0.198144,0.421
63000,1,8.294,-253.886,1.71816,0.505
64000,1,8.68735,-254.442,1.14801,0.477
65000,1,8.88845,-255.783,0.945377,0.459
66000,1,9.18143,-258.192,0.27825,0.491
67000,1,8.0196,-255.479,1.85009,0.476
