generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,2.43516,-751.936,0.961477,1
1000,0,2.514,-618.138,0.193787,0.213
2000,0,2.1978,-616.408,0.538401,0.291
3000,0,1.97879,-618.287,0.03805,0.264
4000,0,2.23617,-616.362,0.134141,0.208
5000,0,2.6397,-616.457,0.0484422,0.221
6000,0,2.86697,-616.082,0.029705,0.184
7000,0,2.43798,-617.772,0.0798862,0.214
8000,0,2.81612,-615.924,0.042136,0.2
9000,0,1.99187,-616.133,0.701366,0.19
10000,0,2.76509,-616.557,0.0939649,0.165
11000,0,2.57749,-616.243,0.144988,0.169
12000,0,2.53586,-616.616,0.125499,0.183
13000,0,2.03808,-616.894,0.654966,0.175
14000,0,2.75036,-617.066,0.0779046,0.183
15000,0,2.71996,-615.984,0.0170358,0.197
16000,0,2.41345,-616.696,0.48321,0.177
17000,0,2.42008,-615.896,0.512072,0.195
18000,1,4.09815,-600.484,0.688446,0.24
19000,1,3.89343,-598.156,0.802078,0.433
20000,1,3.63511,-594.525,1.10586,0.392
21000,1,5.07308,-594.706,0.112085,0.384
22000,1,4.93052,-594.673,0.447988,0.405
23000,1,2.72612,-592.893,2.06229,0.374
24000,1,3.40386,-597.964,2.0485,0.397
25000,2,3.28932,-592.377,3.51164,0.439
26000,2,1.00008,-595.55,2.93356,0.45
27000,2,6.27027,-592.793,1.42249,0.404
28000,1,4.03553,-596.851,0.647341,0.472
29000,1,5.85724,-595.294,0.197903,0.467
30000,1,3.86699,-596.106,0.842548,0.435
31000,1,2.34711,-595.265,3.3952,0.469
32000,1,5.52085,-597.952,0.244779,0.407
33000,1,4.15757,-598.43,0.460455,0.414
34000,1,4.99334,-597.327,0.107159,0.42
35000,3,8.31174,-595.663,1.9124,0.398
36000,3,9.21565,-595.954,1.64814,0.472
37000,1,3.76703,-595.763,1.78769,0.401
38000,1,3.02083,-597.217,1.48866,0.453
39000,2,5.93674,-591.813,0.686298,0.447
40000,2,3.33825,-592.418,0.93243,0.398
41000,2,3.24766,-593.619,1.02344,0.436
42000,2,4.93328,-595.474,2.30813,0.435
43000,1,5.53019,-595.502,0.299664,0.43
44000,1,3.17848,-598.925,1.38591,0.345
45000,1,2.80878,-599.345,1.63007,0.346
46000,1,1.91152,-595.556,2.56791,0.329
47000,1,3.32908,-598.327,0.347171,0.341
48000,1,2.9115,-597.096,0.948169,0.341
49000,1,2.15471,-597.087,1.22883,0.337
50000,2,5.82144,-597.035,1.15952,0.362
51000,1,2.54203,-597.803,1.9999,0.379
52000,1,4.26273,-597.337,0.921573,0.392
53000,1,3.0678,-595.541,1.45884,0.428
54000,2,6.23184,-596.184,0.653831,0.409
55000,1,5.1034,-596.633,0.133006,0.424
56000,1,2.58826,-593.791,2.06203,0.397
57000,1,1.58391,-597.641,2.87041,0.386
58000,1,2.62085,-596.149,2.79604,0.378
59000,1,0.297281,-598.617,4.27766,0.383
60000,1,3.8023,-596.04,0.528159,0.409
61000,1,4.04557,-597.172,1.34298,0.42
62000,1,4.48043,-595.511,1.6253,0.439
63000,1,5.21165,-594.541,0.652987,0.419
64000,1,4.46814,-594.424,1.22176,0.423
65000,1,3.94248,-597.658,1.2705,0.375
66000,1,5.21577,-594.504,0.707351,0.384
67000,1,4.37975,-598.156,0.877571,0.417
68000,1,4.1879,-596.94,0.741347,0.392
69000,2,3.71301,-596.358,2.32454,0.445
70000,1,3.27447,-595.86,2.21328,0.437
71000,1,2.48509,-595.557,2.56094,0.408
72000,1,4.63742,-598.984,0.538577,0.405
73000,1,4.72853,-597.277,0.418293,0.34
74000,1,1.76295,-597.489,1.32996,0.403
75000,2,6.30511,-594.778,1.33286,0.408
76000,2,5.80037,-592.442,1.8164,0.431
77000,2,7.0803,-592.702,1.00167,0.434
78000,3,7.05584,-593.177,1.78506,0.463
79000,2,4.58874,-597.146,1.71798,0.458
80000,1,4.00271,-596.712,1.22516,0.455
81000,1,4.83052,-596.392,0.513774,0.489
82000,1,5.41213,-595.319,0.589332,0.429
83000,1,4.9059,-596.801,0.317312,0.419
84000,1,4.30727,-595.89,1.5577,0.421
85000,1,4.36661,-596.678,0.654381,0.413
86000,1,4.76568,-598.26,0.639645,0.429
87000,1,4.77902,-597.536,0.179152,0.366
88000,1,4.84253,-596.347,0.200062,0.359
89000,1,3.0816,-595.883,2.33474,0.371
90000,1,3.15302,-597.87,0.353377,0.432
91000,1,4.73329,-598.779,0.446493,0.399
92000,2,8.14223,-595.756,0.486899,0.42
93000,1,3.58718,-594.425,1.9862,0.409
94000,1,5.02733,-595.085,0.690885,0.343
95000,1,5.1588,-595.21,0.557004,0.459
96000,1,3.94234,-596.357,1.32246,0.389
97000,1,5.20708,-599.255,0.594306,0.426
98000,1,4.9017,-597.173,0.2446,0.435
99000,1,3.79827,-594.585,1.07939,0.36
100000,1,4.10197,-596.772,0.456358,0.356
101000,1,5.36076,-596.948,0.340555,0.388
102000,1,4.18743,-595.717,0.647126,0.41
103000,2,5.20876,-593.972,0.81547,0.392
104000,2,0.690726,-597.307,0.976593,0.39
105000,1,1.2469,-595.613,1.70211,0.366
106000,1,3.1093,-596.426,0.404511,0.364
107000,1,3.93162,-596.916,0.488495,0.362
108000,1,3.30035,-598.256,0.280887,0.324
109000,1,3.52855,-598.101,0.850843,0.358
110000,1,3.8227,-594.682,1.15312,0.378
111000,2,7.89401,-591.993,0.355133,0.428
112000,2,4.80394,-593.09,1.94682,0.455
113000,2,5.96579,-591.702,1.11332,0.422
114000,3,6.91279,-592.593,1.19152,0.428
115000,3,9.96925,-594.227,0.578719,0.442
116000,2,5.15535,-590.784,2.62848,0.473
117000,2,4.69013,-591.606,2.87863,0.409
118000,2,2.14516,-592.748,2.33321,0.506
119000,4,6.16025,-589.865,3.35333,0.471
120000,3,0.374921,-592.817,3.96035,0.469
