"treeName","setname","source","description","nTips_all","processType","regimeMRCA","regimeTime","regime_nTips","K","sigma","lambda0","lambda1","mu0","mu1"
"Rabosky2014_DD_k1_1","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",142,"pure-birth",143,0,142,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_1","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",142,"diversity-dependent",167,67.1706,108,181.639,NA,0.186276,NA,0.0480981,NA
"Rabosky2014_DD_k1_2","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",67,"pure-birth",68,0,67,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_2","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",67,"diversity-dependent",73,55.2563,34,49.0419,NA,0.167492,NA,0.0484504,NA
"Rabosky2014_DD_k1_3","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",267,"pure-birth",268,0,267,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_3","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",267,"diversity-dependent",275,55.2146,227,227.597,NA,0.329403,NA,0.0454748,NA
"Rabosky2014_DD_k1_4","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",324,"pure-birth",325,0,324,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_4","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",324,"diversity-dependent",403,43.8895,189,204.057,NA,0.144447,NA,0.0164122,NA
"Rabosky2014_DD_k1_5","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",160,"pure-birth",161,0,160,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_5","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",160,"diversity-dependent",216,70.2821,105,107.683,NA,0.325668,NA,0.0292806,NA
"Rabosky2014_DD_k1_6","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",120,"pure-birth",121,0,120,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_6","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",120,"diversity-dependent",126,75.8989,58,74.8466,NA,0.342174,NA,0.0101393,NA
"Rabosky2014_DD_k1_7","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",133,"pure-birth",134,0,133,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_7","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",133,"diversity-dependent",185,60.0735,48,51.1098,NA,0.179913,NA,0.0211701,NA
"Rabosky2014_DD_k1_8","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",67,"pure-birth",68,0,67,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_8","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",67,"diversity-dependent",92,59.1336,27,27.9819,NA,0.207773,NA,0.0124234,NA
"Rabosky2014_DD_k1_9","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",309,"pure-birth",310,0,309,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_9","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",309,"diversity-dependent",395,40.9159,224,215.062,NA,0.341397,NA,0.0442609,NA
