generation,rank_1,rank_2,swapAccepted
1000,2,4,1
2000,3,4,1
3000,1,2,1
4000,1,3,1
5000,1,2,1
6000,3,4,1
7000,3,4,1
8000,3,4,1
9000,2,4,1
10000,2,4,1
11000,1,3,1
12000,1,2,1
13000,3,4,1
14000,1,4,1
15000,1,4,1
16000,3,4,1
17000,1,4,1
18000,1,2,1
19000,2,3,1
20000,2,3,1
21000,3,4,1
22000,3,4,1
23000,2,4,1
24000,2,3,1
25000,2,4,1
26000,1,4,0
27000,1,4,0
28000,1,4,1
29000,1,2,1
30000,1,3,1
31000,1,4,1
32000,1,2,1
33000,1,3,1
34000,1,4,1
35000,1,4,1
36000,3,4,1
37000,2,3,1
38000,1,3,1
39000,2,4,1
40000,1,3,1
41000,1,2,1
42000,1,3,1
43000,2,3,1
44000,3,4,1
45000,3,4,1
46000,3,4,1
47000,2,4,0
48000,1,2,1
49000,3,4,1
50000,3,4,1
51000,3,4,1
52000,1,3,1
53000,2,3,1
54000,3,4,1
55000,2,4,1
56000,1,4,1
57000,2,4,1
58000,1,4,1
59000,1,2,1
60000,3,4,1
61000,1,2,1
62000,1,4,1
63000,3,4,1
64000,2,3,1
65000,3,4,1
66000,2,4,1
67000,3,4,1
68000,2,4,1
69000,1,4,1
70000,2,4,1
71000,1,3,1
72000,2,4,1
73000,3,4,1
74000,1,4,1
75000,2,3,1
76000,2,4,1
77000,3,4,1
78000,1,2,1
79000,2,3,1
80000,2,4,1
81000,1,4,1
82000,1,4,0
83000,1,2,1
84000,2,3,1
85000,1,2,1
86000,1,2,1
87000,1,2,1
88000,1,3,1
89000,1,2,1
90000,1,3,1
91000,1,2,1
92000,1,3,1
93000,1,2,1
94000,1,4,1
95000,2,4,1
96000,2,4,1
97000,1,3,1
98000,1,4,0
99000,2,3,1
100000,1,4,1
101000,3,4,1
102000,1,4,1
103000,2,3,1
104000,1,3,1
105000,2,3,1
106000,1,2,1
107000,2,3,1
108000,1,3,1
109000,1,2,1
110000,1,3,1
111000,1,4,1
112000,1,2,1
113000,2,3,1
114000,2,4,1
115000,1,4,1
116000,2,4,1
117000,3,4,1
118000,2,4,1
119000,1,2,1
120000,2,3,1
121000,1,3,1
122000,1,4,1
123000,3,4,1
124000,1,4,1
125000,2,3,1
126000,1,3,1
127000,1,2,1
128000,2,4,1
129000,3,4,1
130000,1,4,0
131000,3,4,1
132000,3,4,1
133000,1,3,1
134000,1,4,1
135000,2,3,1
136000,1,2,1
137000,2,3,1
138000,1,3,1
139000,1,4,1
140000,2,3,1
141000,1,4,1
142000,3,4,1
143000,3,4,0
144000,1,3,1
145000,2,4,0
146000,1,2,1
147000,2,4,1
148000,1,4,1
149000,3,4,1
150000,2,4,0
151000,3,4,1
152000,1,4,0
153000,1,3,1
154000,1,4,1
155000,1,4,1
156000,2,3,1
157000,3,4,1
158000,3,4,1
159000,2,4,1
160000,1,4,1
161000,1,3,1
162000,2,4,0
163000,3,4,1
164000,2,4,1
165000,1,2,1
166000,2,3,1
167000,1,4,1
168000,1,4,1
169000,3,4,1
170000,2,4,1
171000,2,4,1
172000,1,3,1
173000,2,3,1
174000,1,4,1
175000,1,4,1
176000,1,3,1
177000,1,2,1
178000,1,4,1
179000,2,3,1
180000,2,4,0
181000,1,3,1
182000,1,2,1
183000,1,2,1
184000,2,3,1
185000,3,4,1
186000,2,3,1
187000,2,3,1
188000,2,3,1
189000,1,3,1
190000,1,3,1
191000,3,4,1
192000,1,3,1
193000,3,4,1
194000,2,3,1
195000,1,4,0
196000,1,4,1
197000,1,3,1
198000,3,4,1
199000,2,4,1
200000,3,4,1
201000,1,2,1
202000,2,3,1
203000,1,2,1
204000,2,3,1
205000,1,4,1
206000,1,3,1
207000,3,4,1
208000,2,4,1
209000,3,4,1
210000,1,4,1
211000,1,3,1
212000,1,2,1
213000,1,4,1
214000,2,3,1
215000,1,2,1
216000,1,4,1
217000,2,3,1
218000,2,3,1
219000,1,4,0
220000,1,3,1
221000,1,3,1
222000,2,3,1
223000,1,3,1
224000,1,2,0
225000,3,4,1
226000,2,3,1
227000,1,2,1
228000,2,4,1
229000,1,2,1
230000,2,4,0
231000,1,3,0
232000,1,4,0
233000,2,4,0
234000,2,3,1
235000,2,3,1
236000,2,4,1
237000,1,4,1
238000,1,3,1
239000,1,2,1
240000,1,2,1
241000,2,3,1
242000,2,4,1
243000,1,4,1
244000,3,4,0
245000,2,3,1
246000,2,4,1
247000,2,4,1
248000,1,3,1
249000,3,4,1
250000,2,3,1
251000,2,4,1
252000,1,2,0
253000,2,4,1
254000,2,4,1
255000,1,3,1
256000,1,2,0
257000,2,4,1
258000,1,4,1
259000,1,4,1
260000,1,4,1
261000,3,4,1
262000,1,3,0
263000,2,3,1
264000,2,3,1
265000,3,4,1
266000,2,4,1
267000,3,4,0
268000,1,4,1
269000,1,2,1
270000,1,2,0
271000,1,4,1
272000,1,3,1
273000,2,3,1
274000,1,3,1
275000,2,3,1
276000,1,2,1
277000,1,3,1
278000,1,3,1
279000,3,4,1
280000,1,4,0
281000,2,3,1
282000,1,3,1
283000,1,3,1
284000,2,4,1
285000,1,2,1
286000,1,4,1
287000,1,3,1
288000,1,2,1
289000,2,4,1
290000,1,3,1
291000,2,3,1
292000,2,3,0
293000,1,2,1
294000,1,4,0
295000,2,3,0
296000,1,4,0
297000,2,3,1
298000,1,3,1
299000,2,4,1
300000,1,4,1
301000,2,3,1
302000,1,4,1
303000,1,2,1
304000,1,2,1
305000,3,4,1
306000,1,4,1
307000,2,3,1
308000,1,3,1
309000,2,3,1
310000,2,3,1
311000,3,4,1
312000,2,3,1
313000,2,4,1
314000,2,3,1
315000,2,3,1
316000,1,2,0
317000,2,3,1
318000,2,3,1
319000,1,3,0
320000,1,2,0
321000,1,4,1
322000,3,4,1
323000,2,4,1
324000,2,4,1
325000,1,3,0
326000,3,4,1
327000,2,4,1
328000,2,3,1
329000,2,4,0
330000,1,3,1
331000,1,2,1
332000,1,2,1
333000,1,4,1
334000,1,2,1
335000,1,2,1
336000,1,3,1
337000,1,4,1
338000,1,4,0
339000,3,4,1
340000,1,3,1
341000,2,4,0
342000,1,3,1
343000,1,4,1
344000,2,3,1
345000,1,3,1
346000,2,3,1
347000,2,4,1
348000,1,2,1
349000,1,4,1
350000,1,2,0
351000,1,2,1
352000,2,4,1
353000,1,2,0
354000,1,4,1
355000,2,3,1
356000,1,3,0
357000,1,2,1
358000,1,2,1
359000,1,4,1
360000,3,4,1
361000,1,3,1
362000,1,4,1
363000,1,4,1
364000,1,4,1
365000,1,2,1
366000,2,3,1
367000,1,3,1
368000,1,3,1
369000,2,4,1
370000,1,4,1
371000,3,4,1
372000,1,2,1
373000,1,2,1
374000,2,3,1
375000,2,3,1
376000,1,4,0
377000,2,3,1
378000,2,4,1
379000,1,3,1
380000,1,2,1
381000,1,2,1
382000,3,4,1
383000,1,2,1
384000,1,3,1
385000,3,4,1
386000,2,4,1
387000,1,3,1
388000,2,3,1
389000,3,4,1
390000,1,4,0
391000,1,2,1
392000,2,3,0
393000,2,3,0
394000,2,4,1
395000,1,3,1
396000,3,4,1
397000,2,3,1
398000,1,3,1
399000,1,3,1
400000,2,4,1
401000,1,4,1
402000,1,2,1
403000,2,3,1
404000,3,4,1
405000,3,4,1
406000,2,3,1
407000,1,4,1
408000,2,3,0
409000,3,4,1
410000,1,4,1
411000,1,2,1
412000,1,3,1
413000,1,2,1
414000,3,4,1
415000,3,4,1
416000,1,3,1
417000,2,3,1
418000,2,3,1
419000,1,3,1
420000,1,2,1
421000,3,4,1
422000,1,2,1
423000,2,4,1
424000,1,4,0
425000,2,3,1
426000,3,4,1
427000,1,2,0
428000,1,4,0
429000,2,4,1
430000,1,3,1
431000,2,3,1
432000,1,2,1
433000,1,2,0
434000,1,2,1
435000,1,2,1
436000,2,3,1
437000,1,4,1
438000,2,3,1
439000,1,4,1
440000,1,4,1
441000,1,2,1
442000,2,3,1
443000,2,3,1
444000,3,4,1
445000,1,2,1
446000,1,2,0
447000,2,3,0
448000,2,3,1
449000,2,4,1
450000,1,3,1
451000,2,4,1
452000,2,4,1
453000,1,3,1
454000,2,4,1
455000,3,4,1
456000,2,3,1
457000,1,3,1
458000,2,3,1
459000,3,4,1
460000,1,3,1
461000,2,4,1
462000,1,3,1
463000,1,2,1
464000,1,3,1
465000,2,3,0
466000,2,3,1
467000,1,3,1
468000,1,4,0
469000,2,3,1
470000,1,3,1
471000,1,3,1
472000,2,3,1
473000,1,3,1
474000,3,4,1
475000,1,2,1
476000,1,2,1
477000,2,3,1
478000,1,3,0
479000,2,3,1
480000,1,2,1
481000,1,3,1
482000,3,4,1
483000,3,4,1
484000,2,4,0
485000,1,3,1
486000,1,2,1
487000,3,4,1
488000,1,4,1
489000,1,4,1
490000,2,3,1
491000,3,4,1
492000,1,2,1
493000,2,4,1
494000,3,4,1
495000,1,3,1
496000,1,2,1
497000,1,4,0
498000,3,4,1
499000,1,3,0
500000,3,4,1
501000,1,3,1
502000,1,2,1
503000,2,3,1
504000,2,3,1
505000,1,2,1
506000,1,2,0
507000,2,3,1
508000,1,4,0
509000,2,3,1
510000,2,4,0
511000,1,3,1
512000,1,4,1
513000,1,2,1
514000,1,3,1
515000,1,2,1
516000,1,3,0
517000,2,4,1
518000,2,3,1
519000,1,3,1
520000,1,4,1
521000,3,4,1
522000,1,3,1
523000,3,4,1
524000,1,3,0
525000,2,4,1
526000,1,4,1
527000,1,4,1
528000,1,3,1
529000,1,2,1
530000,1,2,1
531000,1,3,1
532000,3,4,1
533000,2,4,0
534000,2,3,1
535000,3,4,1
536000,1,3,1
537000,1,3,1
538000,1,4,1
539000,3,4,1
540000,3,4,1
541000,1,3,1
542000,1,3,1
543000,1,4,1
544000,2,4,0
545000,1,4,0
546000,3,4,1
547000,2,3,1
548000,1,3,1
549000,2,3,1
550000,2,3,0
551000,1,3,0
552000,2,3,1
553000,1,3,1
554000,2,3,1
555000,2,4,1
556000,3,4,0
557000,3,4,1
558000,3,4,1
559000,1,3,1
560000,1,4,1
561000,2,3,1
562000,1,4,1
563000,1,3,1
564000,1,2,1
565000,3,4,1
566000,2,4,0
567000,2,4,1
568000,2,4,1
569000,3,4,0
570000,3,4,1
571000,1,3,1
572000,2,4,1
573000,1,3,1
574000,2,4,1
575000,3,4,1
576000,3,4,1
577000,2,3,1
578000,3,4,1
579000,2,3,1
580000,1,2,1
581000,1,2,1
582000,3,4,1
583000,1,2,1
584000,1,4,1
585000,1,3,1
586000,1,4,1
587000,2,4,0
588000,2,4,1
589000,1,2,1
590000,1,3,1
591000,3,4,1
592000,1,3,1
593000,1,3,1
594000,1,2,0
595000,1,3,1
596000,1,3,1
597000,1,4,1
598000,1,3,1
599000,1,2,1
600000,2,3,1
601000,2,4,1
602000,1,3,0
603000,2,4,1
604000,3,4,1
605000,2,3,1
606000,2,3,1
607000,2,4,1
608000,1,2,1
609000,1,4,1
610000,1,3,1
611000,3,4,1
612000,3,4,1
613000,1,3,1
614000,2,3,1
615000,1,4,1
616000,1,3,1
617000,3,4,1
618000,1,3,1
619000,2,4,1
620000,1,3,1
621000,1,2,1
622000,1,3,1
623000,1,2,1
624000,3,4,1
625000,2,3,1
626000,1,4,1
627000,1,2,1
628000,2,4,1
629000,1,3,1
630000,2,3,1
631000,3,4,1
632000,2,3,1
633000,2,4,1
634000,1,2,1
635000,2,4,1
636000,1,4,1
637000,1,4,0
638000,3,4,1
639000,3,4,1
640000,1,4,0
641000,3,4,1
642000,1,3,1
643000,3,4,1
644000,1,3,0
645000,1,2,1
646000,3,4,0
647000,3,4,1
648000,2,3,1
649000,2,4,1
650000,2,3,1
651000,1,4,0
652000,2,3,1
653000,2,4,1
654000,1,4,0
655000,1,4,1
656000,2,4,1
657000,1,3,1
658000,3,4,1
659000,1,3,1
660000,3,4,1
661000,2,4,0
662000,1,3,1
663000,2,3,1
664000,2,4,1
665000,1,3,0
666000,1,3,0
667000,1,4,1
668000,2,3,1
669000,1,3,1
670000,2,3,1
671000,1,3,1
672000,1,4,0
673000,3,4,1
674000,3,4,1
675000,1,4,1
676000,3,4,1
677000,3,4,1
678000,1,2,1
679000,1,3,1
680000,3,4,1
681000,1,3,0
682000,2,3,1
683000,2,3,1
684000,1,3,1
685000,1,2,1
686000,2,3,1
687000,3,4,1
688000,1,4,1
689000,2,4,1
690000,1,4,1
691000,3,4,1
692000,3,4,1
693000,3,4,1
694000,3,4,1
695000,3,4,1
696000,1,2,1
697000,1,2,1
698000,1,3,1
699000,1,4,1
700000,2,4,1
701000,1,2,1
702000,2,4,0
703000,2,4,1
704000,3,4,1
705000,1,2,1
706000,1,4,0
707000,1,3,1
708000,1,4,1
709000,2,4,1
710000,1,4,1
711000,1,3,1
712000,1,3,1
713000,1,4,1
714000,3,4,1
715000,1,3,1
716000,3,4,1
717000,1,2,1
718000,1,3,1
719000,2,3,1
720000,2,4,1
721000,1,4,1
722000,2,4,0
723000,2,3,1
724000,3,4,1
725000,3,4,1
726000,2,4,1
727000,1,4,1
728000,2,3,1
729000,1,3,1
730000,2,3,1
731000,2,3,1
732000,3,4,1
733000,1,4,1
734000,1,2,1
735000,2,3,1
736000,2,3,1
737000,1,4,0
738000,1,2,1
739000,1,4,1
740000,1,3,1
741000,1,4,0
742000,2,3,1
743000,1,4,0
744000,1,2,1
745000,1,3,0
746000,2,3,1
747000,1,2,1
748000,3,4,1
749000,1,4,0
750000,3,4,1
751000,1,4,0
752000,2,3,1
753000,1,4,1
754000,2,3,1
755000,2,3,1
756000,3,4,0
757000,3,4,1
758000,3,4,1
759000,1,2,1
760000,1,3,0
761000,1,2,1
762000,3,4,1
763000,2,3,1
764000,3,4,1
765000,2,3,1
766000,2,4,1
767000,1,3,1
768000,2,3,1
769000,1,2,0
770000,1,3,1
771000,2,3,0
772000,1,3,0
773000,2,3,1
774000,3,4,1
775000,2,4,1
776000,1,2,1
777000,3,4,1
778000,1,4,1
779000,3,4,1
780000,1,3,1
781000,2,3,1
782000,1,4,1
783000,1,3,1
784000,1,3,1
785000,1,2,1
786000,2,3,1
787000,1,2,1
788000,2,4,1
789000,2,4,1
790000,2,4,1
791000,1,2,1
792000,1,2,1
793000,2,3,0
794000,2,4,1
795000,2,4,1
796000,1,3,1
797000,1,3,0
798000,1,4,1
799000,1,3,1
800000,1,4,1
801000,2,4,1
802000,1,4,1
803000,3,4,1
804000,3,4,1
805000,1,4,1
806000,1,4,1
807000,2,3,1
808000,2,3,1
809000,2,4,1
810000,1,4,1
811000,1,2,1
812000,1,3,0
813000,1,2,1
814000,2,3,1
815000,3,4,1
816000,1,3,1
817000,3,4,1
818000,2,4,1
819000,2,4,1
820000,1,3,1
821000,3,4,1
822000,1,3,1
823000,1,4,1
824000,2,3,1
825000,1,4,1
826000,2,4,0
827000,3,4,1
828000,3,4,1
829000,3,4,1
830000,2,3,1
831000,2,4,1
832000,2,4,1
833000,1,4,1
834000,3,4,1
835000,1,2,1
836000,3,4,1
837000,1,2,1
838000,2,3,1
839000,3,4,1
840000,1,3,1
841000,2,3,1
842000,3,4,1
843000,1,2,0
844000,2,3,1
845000,2,3,1
846000,1,2,1
847000,1,4,1
848000,2,3,1
849000,1,4,1
850000,2,4,1
851000,1,4,0
852000,2,4,1
853000,1,3,1
854000,1,3,1
855000,3,4,1
856000,3,4,1
857000,2,3,1
858000,3,4,1
859000,2,3,1
860000,1,3,1
861000,1,3,1
862000,1,4,1
863000,2,4,1
864000,1,4,0
865000,1,2,1
866000,2,3,1
867000,3,4,1
868000,1,4,1
869000,3,4,1
870000,1,4,0
871000,1,3,1
872000,1,3,1
873000,1,4,1
874000,2,3,1
875000,1,3,1
876000,3,4,1
877000,1,2,1
878000,1,3,1
879000,1,2,1
880000,1,2,1
881000,3,4,1
882000,1,4,1
883000,2,4,1
884000,1,2,1
885000,2,3,1
886000,2,3,1
887000,2,4,0
888000,2,3,1
889000,2,3,1
890000,1,4,1
891000,2,4,1
892000,1,2,1
893000,2,4,1
894000,3,4,1
895000,1,3,1
896000,1,2,1
897000,2,4,1
898000,3,4,1
899000,3,4,1
900000,1,2,1
901000,1,2,1
902000,1,4,1
903000,2,3,1
904000,1,4,1
905000,2,4,0
906000,1,2,1
907000,2,3,1
908000,2,4,1
909000,2,4,1
910000,3,4,1
911000,1,3,1
912000,2,4,1
913000,1,2,1
914000,1,4,0
915000,3,4,1
916000,2,3,1
917000,1,2,1
918000,3,4,1
919000,1,2,1
920000,1,4,0
921000,1,2,1
922000,1,4,1
923000,1,2,1
924000,1,4,1
925000,2,3,1
926000,1,3,1
927000,2,3,1
928000,1,2,0
929000,1,4,1
930000,3,4,1
931000,3,4,0
932000,1,2,1
933000,1,4,0
934000,3,4,1
935000,1,3,1
936000,2,4,1
937000,1,4,1
938000,2,3,1
939000,3,4,1
940000,1,4,1
941000,3,4,0
942000,2,3,1
943000,2,4,0
944000,1,3,1
945000,3,4,1
946000,1,4,1
947000,1,3,1
948000,1,2,0
949000,1,2,1
950000,1,3,0
951000,2,3,1
952000,3,4,1
953000,2,4,1
954000,2,4,1
955000,3,4,1
956000,1,4,1
957000,2,3,1
958000,2,3,1
959000,1,4,1
960000,2,3,0
961000,3,4,1
962000,1,3,0
963000,1,4,0
964000,1,4,1
965000,2,4,1
966000,2,3,1
967000,2,4,1
968000,2,4,1
969000,3,4,1
970000,1,4,1
971000,2,3,1
972000,3,4,1
973000,1,4,1
974000,1,3,1
975000,2,4,1
976000,2,3,1
977000,2,4,0
978000,1,3,1
979000,1,3,1
980000,1,2,1
981000,2,3,1
982000,2,4,1
983000,1,2,1
984000,2,3,1
985000,1,4,0
986000,2,4,0
987000,1,2,1
988000,2,3,1
989000,1,2,1
990000,1,4,1
991000,1,3,1
992000,2,4,1
993000,1,4,1
994000,1,3,0
995000,1,2,1
996000,3,4,1
997000,2,4,1
998000,1,4,1
999000,2,3,1
1000000,3,4,1
1001000,3,4,1
1002000,2,3,1
1003000,1,2,1
1004000,3,4,1
1005000,1,2,1
1006000,1,4,0
1007000,3,4,1
1008000,1,2,1
1009000,1,2,1
1010000,1,3,1
1011000,1,4,1
1012000,1,2,1
1013000,1,2,0
1014000,2,3,1
1015000,1,2,1
1016000,2,3,0
1017000,3,4,1
1018000,1,4,1
1019000,2,3,1
1020000,2,3,1
1021000,1,2,1
1022000,1,3,1
1023000,1,2,1
1024000,1,3,1
1025000,1,4,1
1026000,2,3,1
1027000,1,4,1
1028000,1,2,1
1029000,1,2,1
1030000,1,2,1
1031000,2,4,1
1032000,1,3,1
1033000,1,2,1
1034000,1,3,1
1035000,3,4,1
1036000,2,4,0
1037000,2,4,1
1038000,1,4,1
1039000,2,4,1
1040000,1,3,1
1041000,3,4,1
1042000,1,3,1
1043000,1,3,1
1044000,1,4,1
1045000,1,4,1
1046000,3,4,1
1047000,2,4,1
1048000,3,4,1
1049000,1,2,1
1050000,2,4,1
1051000,3,4,1
1052000,1,4,1
1053000,1,4,0
1054000,2,4,1
1055000,3,4,1
1056000,1,3,1
1057000,1,4,1
1058000,1,3,0
1059000,2,4,1
1060000,2,3,1
1061000,1,4,1
1062000,3,4,1
1063000,1,2,1
1064000,3,4,1
1065000,3,4,1
1066000,1,3,1
1067000,2,4,1
1068000,1,3,1
1069000,1,4,1
1070000,2,4,1
1071000,1,4,1
1072000,1,2,1
1073000,3,4,1
1074000,1,2,0
1075000,1,2,1
1076000,3,4,1
1077000,1,2,1
1078000,2,4,1
1079000,3,4,1
1080000,2,4,0
1081000,3,4,1
1082000,1,4,1
1083000,2,3,1
1084000,3,4,1
1085000,3,4,1
1086000,2,4,1
1087000,1,4,1
1088000,1,2,1
1089000,2,4,1
1090000,2,3,1
1091000,1,4,0
1092000,1,3,1
1093000,1,2,1
1094000,2,4,1
1095000,3,4,1
1096000,2,3,1
1097000,2,3,0
1098000,1,4,1
1099000,1,3,1
1100000,1,3,1
1101000,1,3,1
1102000,2,3,1
1103000,1,2,1
1104000,2,4,1
1105000,3,4,1
1106000,3,4,1
1107000,1,3,1
1108000,2,3,1
1109000,1,3,1
1110000,2,3,1
1111000,1,2,1
1112000,2,4,1
1113000,1,2,1
1114000,1,3,0
1115000,1,4,0
1116000,1,3,0
1117000,1,3,1
1118000,3,4,1
1119000,1,2,1
1120000,1,2,0
1121000,3,4,1
1122000,1,3,1
1123000,2,3,0
1124000,2,4,1
1125000,2,4,1
1126000,1,3,1
1127000,2,3,1
1128000,3,4,1
1129000,2,3,1
1130000,1,4,1
1131000,1,4,0
1132000,2,4,1
1133000,1,4,1
1134000,1,4,1
1135000,3,4,1
1136000,1,3,1
1137000,2,3,1
1138000,1,2,0
1139000,1,4,0
1140000,1,2,1
1141000,1,2,1
1142000,1,2,1
1143000,3,4,0
1144000,3,4,1
1145000,2,4,1
1146000,1,4,1
1147000,3,4,1
1148000,1,3,1
1149000,1,3,1
1150000,1,2,1
1151000,1,2,1
1152000,2,4,1
1153000,1,4,1
1154000,1,2,1
1155000,3,4,1
1156000,1,4,1
1157000,2,3,1
1158000,2,4,0
1159000,1,4,1
1160000,3,4,1
1161000,1,4,1
1162000,2,4,0
1163000,2,3,0
1164000,1,2,1
1165000,2,3,1
1166000,1,2,1
1167000,2,3,1
1168000,3,4,1
1169000,2,4,1
1170000,1,4,1
1171000,1,3,1
1172000,1,3,1
1173000,3,4,1
