generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,2.44566,-432.903,1,0
100,0,1.72194,-218.678,0.438213,0.36
200,0,-0.421175,-217.045,0.301335,0.34
300,0,0.029977,-217.626,1.97633,0.323333
400,0,1.66766,-217.011,0.0356757,0.3075
500,0,1.92418,-218.301,0.181655,0.296
600,0,0.409078,-220.867,1.7028,0.301667
700,0,0.721202,-218.197,1.15968,0.302857
800,0,1.39338,-217.418,0.531228,0.295
900,0,0.680744,-217.122,0.19377,0.29
1000,0,0.1429,-216.894,0.816719,0.283
1100,0,0.467459,-217.188,0.552941,0.21
1200,0,0.143381,-217.246,0.683697,0.235
1300,0,1.71092,-216.679,0.0795515,0.236667
1400,0,1.63186,-217.849,0.227225,0.235
1500,0,1.23467,-216.703,0.19173,0.242
1600,0,0.190759,-218.97,0.837576,0.24
1700,0,1.45777,-217.6,0.0332304,0.25
1800,0,0.581917,-217.59,0.910515,0.24375
1900,0,0.708833,-218.09,0.411175,0.232222
2000,0,1.0088,-216.669,0.148796,0.301349
2100,0,-2.1607,-218.351,0.478601,0.22
2200,0,1.2021,-216.628,0.312639,0.23
2300,0,0.670755,-216.841,0.429557,0.213333
2400,0,0.981599,-216.992,0.0981994,0.2175
2500,0,0.585741,-217.106,0.290627,0.218
2600,0,0.443164,-218.331,0.23007,0.23
2700,0,-0.322436,-216.749,1.10447,0.244286
2800,0,1.65368,-216.9,0.196518,0.2525
2900,0,-1.12905,-217.462,2.61012,0.263333
3000,0,0.540653,-217.046,0.929251,0.251583
3100,0,1.23544,-216.74,0.00639081,0.18
3200,0,0.840602,-217.546,0.629311,0.22
3300,0,1.484,-217.704,0.0858594,0.23
3400,0,0.502946,-216.945,1.01281,0.2175
3500,0,-0.122923,-219.023,0.508305,0.232
3600,1,-0.455101,-218.21,3.04181,0.225
3700,0,0.675911,-216.734,0.510733,0.237143
3800,0,1.36447,-217.151,0.245429,0.24375
3900,1,0.635565,-214.895,1.75091,0.26
4000,1,2.98012,-215.457,0.570339,0.254333
4100,0,1.17433,-216.789,0.2189,0.53
4200,0,1.45775,-220.954,0.00823885,0.37
4300,1,-0.162233,-216.16,1.59892,0.346667
4400,0,1.29158,-216.893,0.302154,0.37
